Central,Temporada,Energia_GWh,Energia_MWh
1,1,1514.077951827508,1514077.9518275082
1,2,1534.5228330805287,1534522.8330805288
1,3,1682.8616169151396,1682861.6169151396
1,4,1486.6828466117083,1486682.8466117084
1,5,1366.4921248061462,1366492.1248061461
2,1,546.1794194667578,546179.4194667578
2,2,538.8869143015808,538886.9143015807
2,3,544.5520113608909,544552.0113608909
2,4,546.9876105370656,546987.6105370657
2,5,536.1086586907527,536108.6586907527
3,1,1862.042557164736,1862042.557164736
3,2,1916.5399955072269,1916539.9955072268
3,3,1947.9507787985904,1947950.7787985904
3,4,1844.4077591577131,1844407.759157713
3,5,1883.8610563674797,1883861.0563674797
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,0.0,0.0
4,5,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,0.0,0.0
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
8,1,1334.7071796903,1334707.1796903
8,2,1359.4538717573805,1359453.8717573804
8,3,1404.551054927859,1404551.054927859
8,4,1305.752713176343,1305752.713176343
8,5,1317.7000506733714,1317700.0506733714
9,1,562.7631712281309,562763.1712281309
9,2,571.5166633776408,571516.6633776409
9,3,590.2088773758065,590208.8773758066
9,4,550.7256052114149,550725.6052114149
9,5,552.2498177616393,552249.8177616392
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0,0.0
11,5,0.0,0.0
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.0,0.0
12,4,0.0,0.0
12,5,0.0,0.0
13,1,137.04439584424082,137044.39584424082
13,2,146.307788453408,146307.788453408
13,3,152.5884787623792,152588.4787623792
13,4,135.56916823856665,135569.16823856664
13,5,148.10649058720037,148106.49058720036
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
15,1,28.46999999999998,28469.99999999998
15,2,28.46999999999998,28469.99999999998
15,3,28.46999999999998,28469.99999999998
15,4,28.46999999999998,28469.99999999998
15,5,28.46999999999998,28469.99999999998
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
