Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s
1,1,1,1,33.48,33.48,0.0
1,1,1,2,33.48,33.48,0.0
1,1,1,3,33.48,33.48,0.0
1,1,1,4,33.48,33.48,0.0
1,1,1,5,33.48,33.48,0.0
1,1,2,1,33.48,33.48,0.0
1,1,2,2,33.48,33.48,0.0
1,1,2,3,33.48,33.48,0.0
1,1,2,4,33.48,33.48,0.0
1,1,2,5,33.48,33.48,0.0
1,1,3,1,33.48,33.48,0.0
1,1,3,2,33.48,33.48,0.0
1,1,3,3,33.48,33.48,0.0
1,1,3,4,33.48,33.48,0.0
1,1,3,5,33.48,33.48,0.0
1,1,4,1,33.48,33.48,0.0
1,1,4,2,33.48,33.48,0.0
1,1,4,3,33.48,33.48,0.0
1,1,4,4,33.48,33.48,0.0
1,1,4,5,33.48,33.48,0.0
1,1,5,1,0.0,0.0,0.0
1,1,5,2,0.0,0.0,0.0
1,1,5,3,0.0,0.0,0.0
1,1,5,4,0.0,0.0,0.0
1,1,5,5,0.0,0.0,0.0
1,1,6,1,0.0,0.0,0.0
1,1,6,2,0.0,0.0,0.0
1,1,6,3,0.0,0.0,0.0
1,1,6,4,0.0,0.0,0.0
1,1,6,5,0.0,0.0,0.0
1,1,7,1,0.0,0.0,0.0
1,1,7,2,0.0,0.0,0.0
1,1,7,3,0.0,51.42916965309891,0.0
1,1,7,4,0.0,0.0,0.0
1,1,7,5,0.0,0.0,0.0
1,1,8,1,0.0,1097.47151000141,0.0
1,1,8,2,0.0,25.907088864590406,0.0
1,1,8,3,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,5,0.0,0.0,0.0
1,1,9,1,0.0,0.0,0.0
1,1,9,2,0.0,0.0,0.0
1,1,9,3,0.0,120.4842051599124,0.0
1,1,9,4,0.0,0.0,0.0
1,1,9,5,0.0,0.0,0.0
1,1,10,1,0.0,0.0,0.0
1,1,10,2,0.0,101.6218883016455,0.0
1,1,10,3,0.0,0.0,0.0
1,1,10,4,0.0,0.0,0.0
1,1,10,5,0.0,0.0,0.0
1,1,11,1,0.0,0.0,0.0
1,1,11,2,0.0,74.31482485685594,0.0
1,1,11,3,0.0,0.0,0.0
1,1,11,4,0.0,1.3003305438445238,0.0
1,1,11,5,0.0,0.0,0.0
1,1,12,1,0.0,25.889610748070766,0.0
1,1,12,2,0.0,58.05242187484362,0.0
1,1,12,3,0.0,0.0,0.0
1,1,12,4,0.0,75.03794417199704,0.0
1,1,12,5,0.0,0.0,0.0
1,1,13,1,0.0,128.73468155946466,0.0
1,1,13,2,0.0,0.0,0.0
1,1,13,3,0.0,2.7995595470627137,0.0
1,1,13,4,0.0,10.006158315763287,0.0
1,1,13,5,0.0,5.076114693934727,0.0
1,1,14,1,0.0,0.0,0.0
1,1,14,2,0.0,0.0,0.0
1,1,14,3,0.0,0.0,0.0
1,1,14,4,0.0,0.0,0.0
1,1,14,5,0.0,0.0,0.0
1,1,15,1,0.0,0.0,0.0
1,1,15,2,0.0,0.0,0.0
1,1,15,3,0.0,0.0,0.0
1,1,15,4,0.0,0.0,0.0
1,1,15,5,0.0,0.0,0.0
1,1,16,1,0.0,0.0,0.0
1,1,16,2,0.0,0.0,0.0
1,1,16,3,0.0,0.0,0.0
1,1,16,4,0.0,0.0,0.0
1,1,16,5,0.0,0.0,0.0
1,1,17,1,0.0,2.1143413768508452,0.0
1,1,17,2,0.0,0.0,0.0
1,1,17,3,0.0,0.0,0.0
1,1,17,4,0.0,0.0,0.0
1,1,17,5,0.0,0.0,0.0
1,1,18,1,0.0,0.0,0.0
1,1,18,2,0.0,0.0,0.0
1,1,18,3,0.0,67.47961250604058,0.0
1,1,18,4,0.0,62.73906259535485,0.0
1,1,18,5,0.0,0.0,0.0
1,1,19,1,0.0,0.0,0.0
1,1,19,2,0.0,0.0,0.0
1,1,19,3,0.0,0.0,0.0
1,1,19,4,0.0,0.0,0.0
1,1,19,5,0.0,0.0,0.0
1,1,20,1,0.0,0.0,0.0
1,1,20,2,0.0,0.0,0.0
1,1,20,3,0.0,0.0,0.0
1,1,20,4,0.0,0.0,0.0
1,1,20,5,0.0,0.0,0.0
1,1,21,1,33.48,33.48,0.0
1,1,21,2,33.48,33.48,0.0
1,1,21,3,33.48,33.48,0.0
1,1,21,4,33.48,33.48,0.0
1,1,21,5,33.48,33.48,0.0
1,1,22,1,33.48,33.48,0.0
1,1,22,2,33.48,33.48,0.0
1,1,22,3,33.48,33.48,0.0
1,1,22,4,33.48,33.48,0.0
1,1,22,5,33.48,33.48,0.0
1,1,23,1,33.48,33.48,0.0
1,1,23,2,33.48,33.48,0.0
1,1,23,3,33.48,33.48,0.0
1,1,23,4,33.48,33.48,0.0
1,1,23,5,33.48,33.48,0.0
1,1,24,1,33.48,33.48,0.0
1,1,24,2,33.48,33.48,0.0
1,1,24,3,33.48,33.48,0.0
1,1,24,4,33.48,33.48,0.0
1,1,24,5,33.48,33.48,0.0
1,1,25,1,33.48,33.48,0.0
1,1,25,2,33.48,33.48,0.0
1,1,25,3,33.48,33.48,0.0
1,1,25,4,33.48,33.48,0.0
1,1,25,5,33.48,33.48,0.0
1,1,26,1,33.48,33.48,0.0
1,1,26,2,33.48,33.48,0.0
1,1,26,3,33.48,33.48,0.0
1,1,26,4,33.48,33.48,0.0
1,1,26,5,33.48,33.48,0.0
1,1,27,1,33.48,33.48,0.0
1,1,27,2,33.48,33.48,0.0
1,1,27,3,33.48,33.48,0.0
1,1,27,4,33.48,33.48,0.0
1,1,27,5,33.48,33.48,0.0
1,1,28,1,33.48,33.48,0.0
1,1,28,2,33.48,33.48,0.0
1,1,28,3,33.48,33.48,0.0
1,1,28,4,33.48,33.48,0.0
1,1,28,5,33.48,33.48,0.0
1,1,29,1,33.48,33.48,0.0
1,1,29,2,33.48,33.48,0.0
1,1,29,3,33.48,33.48,0.0
1,1,29,4,33.48,33.48,0.0
1,1,29,5,33.48,33.48,0.0
1,1,30,1,33.48,33.48,0.0
1,1,30,2,33.48,33.48,0.0
1,1,30,3,33.48,33.48,0.0
1,1,30,4,33.48,33.48,0.0
1,1,30,5,33.48,33.48,0.0
1,1,31,1,33.48,33.48,0.0
1,1,31,2,33.48,33.48,0.0
1,1,31,3,33.48,33.48,0.0
1,1,31,4,33.48,33.48,0.0
1,1,31,5,33.48,33.48,0.0
1,1,32,1,33.48,33.48,0.0
1,1,32,2,33.48,33.48,0.0
1,1,32,3,33.48,33.48,0.0
1,1,32,4,33.48,33.48,0.0
1,1,32,5,33.48,33.48,0.0
1,1,33,1,33.48,33.48,0.0
1,1,33,2,33.48,33.48,0.0
1,1,33,3,33.48,33.48,0.0
1,1,33,4,33.48,33.48,0.0
1,1,33,5,33.48,33.48,0.0
1,1,34,1,33.48,33.48,0.0
1,1,34,2,33.48,33.48,0.0
1,1,34,3,33.48,33.48,0.0
1,1,34,4,33.48,33.48,0.0
1,1,34,5,33.48,33.48,0.0
1,1,35,1,33.48,33.48,0.0
1,1,35,2,33.48,33.48,0.0
1,1,35,3,33.48,33.48,0.0
1,1,35,4,33.48,33.48,0.0
1,1,35,5,33.48,33.48,0.0
1,1,36,1,33.48,33.48,0.0
1,1,36,2,33.48,33.48,0.0
1,1,36,3,33.48,33.48,0.0
1,1,36,4,33.48,33.48,0.0
1,1,36,5,33.48,33.48,0.0
1,1,37,1,33.48,33.48,0.0
1,1,37,2,33.48,33.48,0.0
1,1,37,3,33.48,33.48,0.0
1,1,37,4,33.48,33.48,0.0
1,1,37,5,33.48,33.48,0.0
1,1,38,1,33.48,33.48,0.0
1,1,38,2,33.48,33.48,0.0
1,1,38,3,33.48,33.48,0.0
1,1,38,4,33.48,33.48,0.0
1,1,38,5,33.48,33.48,0.0
