Central,Semana,Temporada,Caudal_m3s
2,7,3,0.9836290619442849
3,8,1,1036.8715100014101
3,11,2,42.03922653778322
3,12,2,5.209381783551947
3,13,1,76.9340347034352
3,18,4,86.38051377244923
3,25,5,14.864112734714674
3,28,3,40.019082396222814
3,33,1,3.001904857775635
4,1,1,117.1973629577466
4,1,2,41.16900826440292
4,1,3,114.22396877214203
4,1,4,34.4347590223267
4,1,5,120.36654585181776
4,2,1,123.36126121943335
4,2,2,114.43487214049357
4,2,3,125.66715007350246
4,2,4,26.75842253222622
4,2,5,55.52852972005701
4,3,1,118.78933884222522
4,3,2,33.81111679749182
4,3,3,123.13678755423754
4,3,4,125.3762111125308
4,3,5,125.36356534888593
4,4,1,123.08222154577925
4,4,2,123.07494723827789
4,4,3,124.07693481887509
4,4,4,121.92718730617534
4,4,5,55.95946224519949
4,5,1,78.76438731451046
4,5,2,99.420952364156
4,5,3,55.05443426097834
4,5,4,122.94530269396883
4,5,5,61.012350651285715
4,6,1,120.55658976196617
4,6,2,129.04167006026682
4,6,3,119.76225962344175
4,6,4,118.38671790512943
4,6,5,126.12336613216883
4,7,1,70.44348221714895
4,7,2,117.95890283686902
4,7,3,101.80841269475619
4,7,4,107.81061996263722
4,7,5,64.15901061500269
4,8,1,139.4
4,8,2,65.82327731818208
4,8,3,108.5625686940724
4,8,4,130.53998482265774
4,8,5,110.83441237168175
4,9,1,113.00694547275694
4,9,2,117.07621234803797
4,9,3,75.97338327186405
4,9,4,117.13375696261849
4,9,5,82.92168149961776
4,10,1,105.18698387042048
4,10,2,50.72378666974603
4,10,3,122.6921019008313
4,10,4,126.93248325225426
4,10,5,187.41482750920542
4,11,1,96.07169278150289
4,11,2,167.7244016809273
4,11,3,104.32847370665391
4,11,4,169.885129943295
4,11,5,118.24236023631401
4,12,1,124.74603328884638
4,12,2,147.15695990870833
4,12,3,79.23470837233728
4,12,4,111.05233531024156
4,12,5,122.97556602171078
4,13,1,148.19935314397054
4,13,2,109.50258131101714
4,13,3,124.29587304124247
4,13,4,94.56117808481926
4,13,5,139.4
4,14,1,108.7691277967063
4,14,2,75.39792273490305
4,14,3,138.12436205177187
4,14,4,107.76204090032415
4,14,5,97.30348455051424
4,15,1,97.12839894510597
4,15,2,117.70383442666704
4,15,3,94.04357916719157
4,15,4,159.9927320293962
4,15,5,185.22386686921843
4,16,1,110.45018529451968
4,16,2,116.19176434439815
4,16,3,117.75986690566555
4,16,4,78.32902910209596
4,16,5,178.95643239804838
4,17,1,117.43216567283194
4,17,2,140.2612828000527
4,17,3,110.16853244464816
4,17,4,112.3974794603053
4,17,5,109.50528665839157
4,18,1,101.0736910090274
4,18,2,92.8554866842001
4,18,3,72.12779242413635
4,18,4,223.64145117709438
4,18,5,125.70550417701757
4,19,1,109.04216637349879
4,19,2,113.85392904658542
4,19,3,111.20158992709908
4,19,4,103.41603931212317
4,19,5,108.53660941327213
4,20,1,105.89500341495466
4,20,2,84.80425522551312
4,20,3,135.2142621859277
4,20,4,109.95352154931095
4,20,5,130.87300789230844
4,21,1,76.74464536098566
4,21,2,120.29611199609168
4,21,3,110.14435716898788
4,21,4,116.97019139028765
4,21,5,126.14804424987753
4,22,1,115.30640140188474
4,22,2,90.36339389582602
4,22,3,104.54161671819212
4,22,4,83.34815210759552
4,22,5,106.09071801808632
4,23,1,118.49279530207411
4,23,2,107.60351012528247
4,23,3,128.16766669174788
4,23,4,110.06356221502446
4,23,5,157.1665356214519
4,24,1,47.73471627653634
4,24,2,134.70341141833435
4,24,3,114.8018614243517
