Semana,Temporada,Volumen_hm3
1,1,3575.3476743197766
1,2,2967.732953160102
1,3,2712.4931599136066
1,4,2101.7188059906916
1,5,1618.3827447484082
2,1,3502.132194876439
2,2,2896.322735503726
2,3,2656.478856014445
2,4,2083.522292572089
2,5,1593.1719237087987
3,1,3461.823608484693
3,2,2875.2482629737992
3,3,2589.7291179720405
3,4,2024.9855705800583
3,5,1531.3139946234987
4,1,3380.0388459620463
4,2,2848.562851693438
4,3,2527.059172058046
4,4,1934.1650038654966
4,5,1516.6627232843168
5,1,3392.9990371842955
5,2,2852.311895052118
5,3,2523.0373637668326
5,4,1905.3183937833437
5,5,1514.7272852775368
6,1,3359.175190673657
6,2,2840.874513989008
6,3,2460.8720900884955
6,4,1844.4528404006562
6,5,1476.4479196730028
7,1,3375.294377881778
7,2,2793.2419777740665
7,3,2441.999500936719
7,4,1804.1531709076364
7,5,1464.0778712214676
8,1,3408.8583766808365
8,2,3044.0482262013356
8,3,2405.0250173941913
8,4,1816.2780410024818
8,5,1492.3604566667864
9,1,3409.496678681889
9,2,3054.08240572137
9,3,2435.9115786894854
9,4,1830.8160667589823
9,5,1495.8948550968423
10,1,3399.078700832242
10,2,3067.6787503052424
10,3,2414.921316549553
10,4,1847.5284107741033
10,5,1538.1780154801745
11,1,3499.6259843298353
11,2,3113.813242031444
11,3,2392.7851726763
11,4,1922.9075686745643
11,5,1600.9817421843275
12,1,3492.7515953318443
12,2,3117.3135223438144
12,3,2480.1555414781196
12,4,1938.917563988161
12,5,1600.341163304181
13,1,3488.1612895983517
13,2,3273.068830719574
13,3,2512.0999273865255
13,4,1942.204540382157
13,5,1660.8290883863067
14,1,3463.1069867619062
14,2,3321.8150227843257
14,3,2535.88076073039
14,4,1942.6388508446066
14,5,1662.1171258337931
15,1,3486.971192858613
15,2,3341.8352438128063
15,3,2613.127372816285
15,4,2066.936896974528
15,5,1681.7515564131165
16,1,3436.3012751537262
16,2,3368.339139686602
16,3,2614.860919268823
16,4,2049.533975549957
16,5,1708.2743731378728
17,1,3451.0250553978876
17,2,3362.4179614845166
17,3,2596.0696631372675
17,4,2076.745612186188
17,5,1713.4953661294383
18,1,3444.748697367744
18,2,3383.4709667171
18,3,2595.031345781936
18,4,2094.787887071742
18,5,1726.1223385067744
19,1,3410.0724917139987
19,2,3392.120589901159
19,3,2583.903669433268
19,4,2091.0626785737363
19,5,1716.69788822201
20,1,3416.0639573315143
20,2,3395.3023383285986
20,3,2614.0527297091285
20,4,2074.045460028404
20,5,1729.8945682887475
21,1,3418.06266239335
21,2,3375.6061590267564
21,3,2574.5017877606083
21,4,2120.917204281264
21,5,1736.5338384618985
22,1,3390.162586749893
22,2,3402.6437784088976
22,3,2630.959362124798
22,4,2169.0793673022335
22,5,1703.1241406640586
