Semana,Temporada,Volumen_hm3
1,1,4734.530646388498
2,1,4852.283787981702
3,1,4978.305775677175
4,1,4839.74676874281
5,1,4874.943380810699
6,1,5088.906786758972
7,1,5037.232583776871
8,1,4939.415639999492
9,1,5062.420701999545
10,1,4979.179166977757
11,1,4991.561849035312
12,1,5069.9867620743635
13,1,4857.029052039837
14,1,4873.298751666456
15,1,4981.90607146824
16,1,4924.23782422556
17,1,5039.589430900475
18,1,4895.560671040866
19,1,4819.258740728052
20,1,5077.550382100389
21,1,4875.779446456963
22,1,4869.914926683936
23,1,4683.527971415027
24,1,4733.076661719114
25,1,4759.449335476603
26,1,4594.099861097371
27,1,4708.2811648094275
28,1,4573.488177804209
29,1,4569.187701526289
30,1,4505.557986580061
31,1,4721.452860600546
32,1,4509.001351944453
33,1,4382.778362474695
34,1,4553.447707962549
35,1,4336.494963621793
36,1,4471.809977593949
37,1,4252.390064117639
38,1,4318.105013203631
39,1,4478.265452205808
40,1,4545.039874751771
41,1,4505.686283489282
42,1,4498.786246179422
43,1,4506.114672590724
44,1,4417.876448766257
45,1,4526.372655666146
46,1,4587.488169700111
47,1,4776.423585596752
48,1,4743.561047796447
1,2,3650.8883192581125
2,2,3619.129551943017
3,2,3628.433435818793
4,2,3794.4525809122465
5,2,3871.5798745682278
6,2,3894.236362932869
7,2,3746.6902043523332
8,2,3825.564686820882
9,2,3911.413886594321
10,2,3993.198294784255
11,2,3860.3402464208243
12,2,3897.347483064394
13,2,3807.84642491803
14,2,3796.292718322709
15,2,3989.510252444773
16,2,4031.2677849291013
17,2,3871.086531295931
18,2,3956.839214195206
19,2,3866.7755591793607
20,2,3736.5963755607368
21,2,3804.6194828694743
22,2,3887.088608674757
23,2,3692.543031938394
24,2,3814.102145566049
25,2,3356.5054119096585
26,2,3661.5123150901395
27,2,3549.5389156116935
28,2,3473.774157562519
29,2,3477.655999972183
30,2,3237.0946021559275
31,2,3384.3806991789174
32,2,3416.185177382437
33,2,3506.461705657453
34,2,3289.489040737882
35,2,3247.8528141425936
36,2,3270.870759548036
37,2,3410.02013408884
38,2,3353.921574872458
39,2,3275.7261540552086
40,2,3392.6428058765823
41,2,3368.380056118105
42,2,3477.338419284551
43,2,3336.1425785749334
44,2,3403.0852789562396
45,2,3429.269107005417
46,2,3357.323397795894
47,2,3570.446236494334
48,2,3605.427591870606
1,3,4479.098014983716
2,3,4400.177511782204
3,3,4538.137909575451
4,3,4583.090306378081
5,3,4572.329001399068
6,3,4669.056585857245
7,3,4755.093848358649
8,3,4929.181320529654
9,3,4779.822130739746
10,3,4805.475627146893
11,3,4784.889884631334
12,3,4608.113065203469
13,3,4799.905340776309
14,3,4806.013207727476
15,3,5038.658687456479
16,3,4760.484491596504
17,3,4792.519083689923
18,3,4737.0915534380765
19,3,4597.820958915241
20,3,4799.467438475349
21,3,4727.750031589908
22,3,4696.464952735062
23,3,4489.263696372513
24,3,4681.994017080856
25,3,4362.371622042002
26,3,4522.084580035242
27,3,4643.956577371472
28,3,4288.698066098635
29,3,4295.926955360953
30,3,4329.893436127379
31,3,4240.077128553647
32,3,4109.4843831272465
33,3,4249.605404666501
34,3,4119.162497195234
35,3,4260.138223498028
36,3,4113.180846485707
37,3,4357.550168822984
38,3,4126.797940675464
39,3,4180.572828813943
40,3,4306.744590304811
41,3,4119.662675542503
42,3,4287.296719694273
43,3,4421.138969393509
44,3,4159.179976162492
45,3,4371.020114174461
46,3,4413.739978036546
47,3,4503.093301968205
48,3,4339.703799567406
1,4,3891.965850019552
2,4,3908.628018447196
3,4,3942.4666920232057
4,4,3989.2215441170865
5,4,3921.7692213000128
6,4,4045.6254918765785
7,4,4081.2109751436947
8,4,4006.342553742596
9,4,4286.156765707669
10,4,4164.318845302427
11,4,4010.419091624318
12,4,4202.8605127333885
13,4,4042.30352643513
14,4,4215.9136122442505
15,4,4245.408999245323
16,4,4034.867321376077
17,4,4195.9169275176255
18,4,4119.055788238882
19,4,4134.109743813276
20,4,4212.079420425873
21,4,3965.232881857575
22,4,3879.20310673164
23,4,3828.465964026066
24,4,3797.3485226273338
25,4,3832.0615225164515
26,4,3834.729033273511
27,4,3789.795059860108
28,4,3807.6849886519376
29,4,3691.0718826456527
30,4,3802.4966724709775
31,4,3601.1739757781024
32,4,3873.7826080294535
33,4,3642.5308070990313
34,4,3476.8920780628478
35,4,3442.9046957650303
36,4,3590.5854765700374
37,4,3517.425414925277
38,4,3613.7382844549284
39,4,3597.317708028496
40,4,3555.3249424387886
41,4,3495.28470051569
42,4,3450.280968901905
43,4,3582.9881638951956
44,4,3742.783144187593
45,4,3711.1810678708825
46,4,3600.3927858771362
47,4,3779.444072512224
48,4,3839.14557376473
1,5,4073.443792493986
2,5,4103.050011410049
3,5,4021.4199656471274
4,5,4208.655047643789
5,5,4264.149734536257
6,5,4349.004834919578
7,5,4375.583521458888
8,5,4158.3103471910945
9,5,4224.096399043253
10,5,4386.738668373686
11,5,4399.227624877375
12,5,4407.009508942181
13,5,4743.344430964906
14,5,4412.593791380893
15,5,4461.405593804214
16,5,4430.63531800214
17,5,4383.018028165345
18,5,4264.550359522769
19,5,4346.100238304724
20,5,4163.417189148293
21,5,4184.389421225433
22,5,4124.33995682605
23,5,4143.904409368822
24,5,4328.6949962328
25,5,3871.3447626402585
26,5,4087.539443270869
27,5,3819.153981249712
28,5,3896.073065610963
29,5,4016.96634159617
30,5,3881.8708551063637
31,5,3738.1647697505387
32,5,3748.534908886066
33,5,3866.2234356575696
34,5,3707.8707589743335
35,5,3789.9393929709104
36,5,3765.1950074776714
37,5,3692.9112471388516
38,5,3975.032232419823
39,5,3831.6854362445138
40,5,3578.3931634802866
41,5,3816.9090922410446
42,5,3753.886633335224
43,5,3931.1825810230916
44,5,3796.190779353547
45,5,3896.597637752743
46,5,3993.764980087952
47,5,4067.001087785689
48,5,3898.8837835278405
