Central,Temporada,Energia_GWh,Energia_MWh
1,1,1218.388699608241,1218388.699608241
1,2,973.8364525313424,973836.4525313424
1,3,998.6799495027706,998679.9495027706
1,4,778.133730489609,778133.730489609
1,5,661.2835568100692,661283.5568100691
1,6,691.6112301202288,691611.2301202288
2,1,537.1310692039046,537131.0692039046
2,2,537.6357124480284,537635.7124480284
2,3,536.2420923165237,536242.0923165237
2,4,536.4917956426868,536491.7956426869
2,5,536.6263999252564,536626.3999252564
2,6,537.1244297087263,537124.4297087264
3,1,1756.5067216761765,1756506.7216761766
3,2,1687.3046603857586,1687304.6603857586
3,3,1694.766860588207,1694766.860588207
3,4,1608.872142021983,1608872.1420219832
3,5,1572.17607266682,1572176.07266682
3,6,1591.784113436412,1591784.113436412
4,1,0.0,0.0
4,2,0.0,0.0
4,3,0.0,0.0
4,4,0.0,0.0
4,5,0.0,0.0
4,6,0.0,0.0
5,1,0.0,0.0
5,2,0.0,0.0
5,3,0.0,0.0
5,4,0.0,0.0
5,5,0.0,0.0
5,6,0.0,0.0
6,1,0.0,0.0
6,2,0.0,0.0
6,3,0.0,0.0
6,4,0.0,0.0
6,5,0.0,0.0
6,6,0.0,0.0
7,1,0.0,0.0
7,2,0.0,0.0
7,3,0.0,0.0
7,4,0.0,0.0
7,5,0.0,0.0
7,6,0.0,0.0
8,1,1455.3992476524782,1455399.247652478
8,2,1396.2559378095636,1396255.9378095637
8,3,1396.2950870630002,1396295.0870630003
8,4,1340.3220363299383,1340322.0363299383
8,5,1305.9486364753488,1305948.6364753488
8,6,1324.8713535540983,1324871.3535540982
9,1,613.3313999999997,613331.3999999997
9,2,587.1789210762873,587178.9210762873
9,3,586.7457025346815,586745.7025346815
9,4,564.3143690091179,564314.3690091178
9,5,548.8633454426729,548863.3454426728
9,6,555.6140375318346,555614.0375318346
10,1,0.0,0.0
10,2,0.0,0.0
10,3,0.0,0.0
10,4,0.0,0.0
10,5,0.0,0.0
10,6,0.0,0.0
11,1,0.0,0.0
11,2,0.0,0.0
11,3,0.0,0.0
11,4,0.0,0.0
11,5,0.0,0.0
11,6,0.0,0.0
12,1,0.0,0.0
12,2,0.0,0.0
12,3,0.0,0.0
12,4,0.0,0.0
12,5,0.0,0.0
12,6,0.0,0.0
13,1,196.97580949508347,196975.80949508346
13,2,190.57618514994442,190576.18514994442
13,3,191.9060544520001,191906.0544520001
13,4,184.2351860574886,184235.18605748858
13,5,181.09741669808423,181097.41669808424
13,6,182.48773916575706,182487.73916575706
14,1,0.0,0.0
14,2,0.0,0.0
14,3,0.0,0.0
14,4,0.0,0.0
14,5,0.0,0.0
14,6,0.0,0.0
15,1,28.46999999999998,28469.99999999998
15,2,28.46999999999998,28469.99999999998
15,3,28.46999999999998,28469.99999999998
15,4,28.46999999999998,28469.99999999998
15,5,28.46999999999998,28469.99999999998
15,6,28.46999999999998,28469.99999999998
16,1,0.0,0.0
16,2,0.0,0.0
16,3,0.0,0.0
16,4,0.0,0.0
16,5,0.0,0.0
16,6,0.0,0.0
