Central,Semana,Temporada,Caudal_m3s
1,1,1,53.456506262435596
1,1,2,35.51277421274024
1,1,3,44.42827337942445
1,1,4,0.0
1,1,5,0.0
1,1,6,0.0
1,2,1,42.13832188313929
1,2,2,54.75178353166775
1,2,3,49.16848089523741
1,2,4,0.0
1,2,5,0.0
1,2,6,0.0
1,3,1,48.70089513834278
1,3,2,35.13454848617752
1,3,3,0.0
1,3,4,0.0
1,3,5,0.0
1,3,6,0.0
1,4,1,54.38656953329438
1,4,2,39.4825984272553
1,4,3,49.20996139505229
1,4,4,42.41796962780541
1,4,5,0.0
1,4,6,0.0
1,5,1,30.273980776923366
1,5,2,37.52802743302912
1,5,3,0.0
1,5,4,0.0
1,5,5,0.0
1,5,6,0.0
1,6,1,30.575586772050364
1,6,2,38.653816446917226
1,6,3,34.971817325812246
1,6,4,0.0
1,6,5,0.0
1,6,6,0.0
1,7,1,33.44498774943794
1,7,2,35.92794909799189
1,7,3,43.61050400857116
1,7,4,0.0
1,7,5,0.0
1,7,6,5.600592187948563
1,8,1,29.50576323187883
1,8,2,34.83707267974954
1,8,3,0.0
1,8,4,0.0
1,8,5,0.0
1,8,6,0.0
1,9,1,36.82259909583655
1,9,2,26.031576754241904
1,9,3,30.917746523224146
1,9,4,0.0
1,9,5,0.0
1,9,6,36.724763284182444
1,10,1,34.036517206312865
1,10,2,28.702520350062166
1,10,3,43.63417928783685
1,10,4,0.0
1,10,5,0.0
1,10,6,0.0
1,11,1,33.34691802277935
1,11,2,35.05921880840916
1,11,3,0.0
1,11,4,0.0
1,11,5,0.0
1,11,6,0.0
1,12,1,32.24563411645746
1,12,2,36.470830559385085
1,12,3,0.0
1,12,4,0.0
1,12,5,0.0
1,12,6,33.25537998930247
1,13,1,0.0
1,13,2,0.0
1,13,3,0.0
1,13,4,0.0
1,13,5,0.0
1,13,6,0.0
1,14,1,0.0
1,14,2,0.0
1,14,3,0.0
1,14,4,0.0
1,14,5,0.0
1,14,6,0.0
1,15,1,0.0
1,15,2,0.0
1,15,3,0.0
1,15,4,0.0
1,15,5,0.0
1,15,6,0.0
1,16,1,0.0
1,16,2,0.0
1,16,3,0.0
1,16,4,0.0
1,16,5,0.0
1,16,6,0.0
1,17,1,0.0
1,17,2,0.0
1,17,3,0.0
1,17,4,0.0
1,17,5,0.0
1,17,6,0.0
1,18,1,0.0
1,18,2,0.0
1,18,3,0.0
1,18,4,0.0
1,18,5,0.0
1,18,6,0.0
1,19,1,0.0
1,19,2,0.0
1,19,3,0.0
1,19,4,0.0
1,19,5,0.0
1,19,6,0.0
1,20,1,0.0
1,20,2,0.0
1,20,3,0.0
1,20,4,0.0
1,20,5,0.0
1,20,6,0.0
1,21,1,0.0
1,21,2,0.0
1,21,3,0.0
1,21,4,0.0
1,21,5,0.0
1,21,6,0.0
1,22,1,0.0
1,22,2,0.0
1,22,3,0.0
1,22,4,0.0
1,22,5,0.0
1,22,6,0.0
1,23,1,0.0
1,23,2,0.0
1,23,3,0.0
1,23,4,0.0
1,23,5,0.0
1,23,6,0.0
1,24,1,0.0
1,24,2,0.0
1,24,3,0.0
1,24,4,0.0
1,24,5,0.0
1,24,6,0.0
1,25,1,9.043755992160548
1,25,2,6.033557263724731
1,25,3,12.016764054593686
1,25,4,12.496962682210814
1,25,5,12.77081523718794
1,25,6,8.809840438280403
1,26,1,9.045273070001642
1,26,2,9.52302141277621
1,26,3,11.891836195879627
1,26,4,11.08153627191497
1,26,5,9.962231547180345
1,26,6,8.76240072054918
1,27,1,5.491142755111007
1,27,2,8.235779298695768
1,27,3,6.7883294304594415
1,27,4,11.179131448774378
1,27,5,11.053027421965844
1,27,6,8.353806879304116
1,28,1,17.06183650226211
1,28,2,13.516005661426703
1,28,3,10.331470330319846
1,28,4,8.091217318285324
1,28,5,14.793191599024851
1,28,6,9.303931662556472
1,29,1,14.109405099375984
1,29,2,8.632727305969489
1,29,3,5.817316926018236
1,29,4,13.096607234490335
1,29,5,9.85966854482303
1,29,6,3.9136948845291357
1,30,1,12.531886494376423
1,30,2,3.877264457161523
1,30,3,14.665367569258798
1,30,4,7.1209751428448484
1,30,5,0.0
1,30,6,8.853685253007612
1,31,1,17.031723126362586
1,31,2,16.56778639740405
1,31,3,10.366677279437134
1,31,4,7.568032852922698
1,31,5,0.0
1,31,6,9.954625444184465
1,32,1,11.247892807263327
1,32,2,12.400041473801856
1,32,3,0.0
1,32,4,0.0
1,32,5,0.0
1,32,6,3.768967172525393
1,33,1,11.152406449645213
1,33,2,11.913491850282526
1,33,3,10.948413106821214
1,33,4,4.22411850110111
1,33,5,0.0
1,33,6,0.0
1,34,1,6.957407290240376
1,34,2,11.687387162607529
1,34,3,9.023299868736359
1,34,4,7.135647922064706
1,34,5,9.13495542534131
1,34,6,14.464215312228134
1,35,1,11.38832627561861
1,35,2,16.832682467965896
1,35,3,0.0
1,35,4,10.214757965151982
1,35,5,15.21251267516061
1,35,6,8.524702452297184
1,36,1,6.593604919275904
1,36,2,6.616596190589178
1,36,3,12.86952889531512
1,36,4,12.59604286610525
1,36,5,7.3690500752421215
1,36,6,8.307887235047282
1,37,1,66.73111328541984
1,37,2,0.0
1,37,3,68.55835891519585
1,37,4,67.80656439228503
1,37,5,0.0
1,37,6,0.0
1,38,1,69.84242340347143
1,38,2,0.0
1,38,3,68.98198684432236
1,38,4,68.86214341372991
1,38,5,67.57954847429775
1,38,6,66.8961459401398
1,39,1,67.46598451440292
1,39,2,67.89738044797623
1,39,3,70.3259515138977
1,39,4,66.06129722016442
1,39,5,68.15275128775808
1,39,6,68.09663664515851
1,40,1,67.76501666141141
1,40,2,67.69091539152164
1,40,3,0.0
1,40,4,70.0952090134848
1,40,5,68.06250358448253
1,40,6,68.35300921996662
1,41,1,68.00976061411222
1,41,2,67.28895179416261
1,41,3,67.39485769829321
1,41,4,68.83739551451248
1,41,5,68.14234203512312
1,41,6,0.0
1,42,1,68.84085873021058
1,42,2,68.47106594706676
1,42,3,67.88125259934678
1,42,4,68.37744062454193
1,42,5,67.50381445252779
1,42,6,0.0
1,43,1,66.60968548645027
1,43,2,0.0
1,43,3,67.14712212558933
1,43,4,66.68000069818089
1,43,5,63.93026684132816
1,43,6,68.80741890968974
1,44,1,69.50290004737306
1,44,2,0.0
1,44,3,67.18355241043426
1,44,4,0.0
1,44,5,66.6276943581878
1,44,6,68.31029465633858
1,45,1,68.39127132976856
1,45,2,68.68256617269492
1,45,3,69.18949706925616
1,45,4,67.71868143953532
1,45,5,67.26280502367638
1,45,6,67.5952351933035
1,46,1,67.61658650774548
1,46,2,68.31265941506481
1,46,3,66.60764869635582
1,46,4,66.71486328639068
1,46,5,67.96996547371862
1,46,6,68.92652662479036
1,47,1,66.4449053891116
1,47,2,68.33862081385206
1,47,3,68.03806761750855
1,47,4,66.45345138063678
1,47,5,0.0
1,47,6,68.33947575506257
1,48,1,66.97987529339339
1,48,2,68.17599736879905
1,48,3,66.90006503353337
1,48,4,66.59981332118177
1,48,5,66.66361336272843
1,48,6,69.53746147901663
2,1,1,49.39752272078191
2,1,2,50.05377732242147
2,1,3,50.48543297588951
2,1,4,49.36810947010763
2,1,5,49.941680603677995
2,1,6,49.93266959217876
2,2,1,49.39587388146068
2,2,2,50.502850424960094
2,2,3,49.803204917691744
2,2,4,49.51459026410519
2,2,5,50.12220371108382
2,2,6,49.50926151752284
2,3,1,49.44612467101306
2,3,2,49.76617693867857
2,3,3,49.68679286686477
2,3,4,49.57226715990741
2,3,5,49.69755034553597
2,3,6,49.75178174158913
2,4,1,50.027994082294626
2,4,2,49.903263979066125
2,4,3,49.446149948814565
2,4,4,49.92979391778908
2,4,5,49.35753262004178
2,4,6,49.67818505276388
2,5,1,49.93197413064503
2,5,2,49.57512394811373
2,5,3,49.94511455355282
2,5,4,49.06636723448219
2,5,5,48.96334641041743
2,5,6,49.5072050474739
2,6,1,49.153916526759765
2,6,2,49.78070582865255
2,6,3,49.30204284700209
2,6,4,49.551597263903645
2,6,5,49.611596752615455
2,6,6,49.64358929273416
2,7,1,50.01627649233147
2,7,2,49.73948639412152
2,7,3,49.85846088466442
2,7,4,50.27310916768442
2,7,5,50.012757603304074
2,7,6,49.76878125745143
2,8,1,49.953153544852086
2,8,2,49.49167389067665
2,8,3,49.48300368748526
2,8,4,49.55040089578293
2,8,5,49.31799772140646
2,8,6,49.6504746308231
2,9,1,49.86375207463868
2,9,2,49.63285978653625
2,9,3,49.89970641171359
2,9,4,49.25433786190489
2,9,5,49.62687967055578
2,9,6,49.69888934271093
2,10,1,49.765296073022
2,10,2,50.3919755990969
2,10,3,49.239239817834964
2,10,4,49.57380534977607
2,10,5,49.7316002946994
2,10,6,49.976746775302196
2,11,1,49.14036090719664
2,11,2,50.1293151168799
2,11,3,49.50154611144307
2,11,4,49.20653655858356
2,11,5,49.46566771305694
2,11,6,49.484312138455344
2,12,1,49.53622472901487
2,12,2,49.2483942720472
2,12,3,49.03839205669367
2,12,4,49.898757326932554
2,12,5,49.71867126007559
2,12,6,49.68483191407488
2,13,1,51.557444729849266
2,13,2,51.84203468082279
2,13,3,51.495226718429
2,13,4,51.291474811275016
2,13,5,51.18245929714334
2,13,6,51.59354135615476
2,14,1,52.07661208045603
2,14,2,51.47309979175395
2,14,3,51.203124073055534
2,14,4,51.31803721650267
2,14,5,51.25637031058451
2,14,6,51.955732989829635
2,15,1,51.68495201501106
2,15,2,51.21429188682948
2,15,3,51.49535126965794
2,15,4,51.346920023248984
2,15,5,50.98959582678694
2,15,6,51.262094964745714
2,16,1,51.719938855392016
2,16,2,51.801308370716306
2,16,3,51.0917780398942
2,16,4,51.540273708168016
2,16,5,51.72794807728629
2,16,6,52.013746196342204
2,17,1,51.47858494605724
2,17,2,51.848814336901164
2,17,3,51.54636975479942
2,17,4,51.996695365553826
2,17,5,51.412010242367415
2,17,6,51.13756383764075
2,18,1,51.28049763470343
2,18,2,51.007325861146185
2,18,3,51.10518998091199
2,18,4,51.06346869674457
2,18,5,51.06374783236422
2,18,6,51.7999969887655
2,19,1,52.03394244590854
2,19,2,51.36973835910339
2,19,3,51.73209765235009
2,19,4,51.711902729182526
2,19,5,51.85112318601195
2,19,6,51.38138662268664
2,20,1,51.47319309853962
2,20,2,51.92569785530917
2,20,3,51.19460722461119
2,20,4,51.30203418778602
2,20,5,51.49245969890117
2,20,6,51.309760220152874
2,21,1,52.067682761312426
2,21,2,52.084651507841166
2,21,3,51.64856058143519
2,21,4,51.50314548283695
2,21,5,52.16390739116678
2,21,6,51.31392900013221
2,22,1,51.39724817948658
2,22,2,51.49798553147292
2,22,3,51.546996353278445
2,22,4,51.33725285365716
2,22,5,51.238006820860214
2,22,6,51.75847907591312
2,23,1,51.41763348066868
2,23,2,51.111684669354915
2,23,3,51.39322628640158
2,23,4,51.53621766728399
2,23,5,51.696707331928074
2,23,6,51.74528131644013
2,24,1,51.18091865271671
2,24,2,51.73288366655099
2,24,3,51.40339101863916
2,24,4,51.08909778665488
2,24,5,51.403034160042324
2,24,6,51.5593261252634
2,25,1,52.612862815945334
2,25,2,52.392919619293124
2,25,3,52.17745617615939
2,25,4,52.22377088471587
2,25,5,52.237685802755756
2,25,6,52.2989212183992
2,26,1,52.11800087107514
2,26,2,52.09323023416129
2,26,3,52.519654740845134
2,26,4,52.35171703600365
2,26,5,52.611732153225454
2,26,6,52.28229215086033
2,27,1,52.62914734343395
2,27,2,52.048518540051965
2,27,3,51.80857447563008
2,27,4,52.106896261764106
2,27,5,52.20402191929327
2,27,6,52.496021701857316
2,28,1,52.22109494188196
2,28,2,52.13923025445804
2,28,3,52.19363902644899
2,28,4,52.12625050176148
2,28,5,52.16548225341097
2,28,6,52.48252218274898
2,29,1,52.353282138396644
2,29,2,52.427226851995094
2,29,3,51.92405837336888
2,29,4,51.86686900721273
2,29,5,52.543231970074046
2,29,6,51.64773011600448
2,30,1,52.173073946686756
2,30,2,52.67688684851749
2,30,3,52.56851540304316
2,30,4,52.34798324518021
2,30,5,52.177375539203815
2,30,6,52.42217741111074
2,31,1,52.39642263033107
2,31,2,52.36485653416632
2,31,3,52.683529585055126
2,31,4,52.07106378348625
2,31,5,52.05002856447708
2,31,6,52.01335782495623
2,32,1,52.91931801597681
2,32,2,52.188055816089054
2,32,3,51.970287186651476
2,32,4,52.38771890341872
2,32,5,52.35387332919281
2,32,6,52.25959610270672
2,33,1,51.730931894816734
2,33,2,52.38272161794296
2,33,3,52.32495129325199
2,33,4,52.39438164367072
2,33,5,52.26911156854291
2,33,6,52.5210664185614
2,34,1,52.66968911288374
2,34,2,52.202025210235725
2,34,3,52.13885366511438
2,34,4,52.47093694273353
2,34,5,51.75615022472642
2,34,6,52.35293265770639
