Demanda,Canal,Semana,Temporada,Demanda_m3s,Provisto_m3s,Deficit_m3s
1,1,1,1,12.454559999999999,12.454559999999999,0.0
1,1,1,2,12.454559999999999,12.454559999999999,0.0
1,1,1,3,12.454559999999999,12.454559999999999,0.0
1,1,1,4,12.454559999999999,12.454559999999999,0.0
1,1,1,5,12.454559999999999,12.454559999999999,0.0
1,1,1,6,12.454559999999999,12.454559999999999,0.0
1,1,2,1,12.454559999999999,12.454559999999999,0.0
1,1,2,2,12.454559999999999,12.454559999999999,0.0
1,1,2,3,12.454559999999999,12.454559999999999,0.0
1,1,2,4,12.454559999999999,12.454559999999999,0.0
1,1,2,5,12.454559999999999,12.454559999999999,0.0
1,1,2,6,12.454559999999999,12.454559999999999,0.0
1,1,3,1,12.454559999999999,12.454559999999999,0.0
1,1,3,2,12.454559999999999,12.454559999999999,0.0
1,1,3,3,12.454559999999999,12.454559999999999,0.0
1,1,3,4,12.454559999999999,12.454559999999999,0.0
1,1,3,5,12.454559999999999,12.454559999999999,0.0
1,1,3,6,12.454559999999999,12.454559999999999,0.0
1,1,4,1,12.454559999999999,12.454559999999999,0.0
1,1,4,2,12.454559999999999,12.454559999999999,0.0
1,1,4,3,12.454559999999999,12.454559999999999,0.0
1,1,4,4,12.454559999999999,12.454559999999999,0.0
1,1,4,5,12.454559999999999,12.454559999999999,0.0
1,1,4,6,12.454559999999999,12.454559999999999,0.0
1,1,5,1,0.0,0.0,0.0
1,1,5,2,0.0,0.0,0.0
1,1,5,3,0.0,0.0,0.0
1,1,5,4,0.0,0.0,0.0
1,1,5,5,0.0,0.0,0.0
1,1,5,6,0.0,0.0,0.0
1,1,6,1,0.0,0.0,0.0
1,1,6,2,0.0,0.0,0.0
1,1,6,3,0.0,0.0,0.0
1,1,6,4,0.0,0.0,0.0
1,1,6,5,0.0,0.0,0.0
1,1,6,6,0.0,0.0,0.0
1,1,7,1,0.0,0.0,0.0
1,1,7,2,0.0,0.0,0.0
1,1,7,3,0.0,0.0,0.0
1,1,7,4,0.0,0.0,0.0
1,1,7,5,0.0,0.0,0.0
1,1,7,6,0.0,0.0,0.0
1,1,8,1,0.0,0.0,0.0
1,1,8,2,0.0,0.0,0.0
1,1,8,3,0.0,0.0,0.0
1,1,8,4,0.0,0.0,0.0
1,1,8,5,0.0,0.0,0.0
1,1,8,6,0.0,0.0,0.0
1,1,9,1,0.0,0.0,0.0
1,1,9,2,0.0,0.0,0.0
1,1,9,3,0.0,0.0,0.0
1,1,9,4,0.0,0.0,0.0
1,1,9,5,0.0,0.0,0.0
1,1,9,6,0.0,0.0,0.0
1,1,10,1,0.0,0.0,0.0
1,1,10,2,0.0,0.0,0.0
1,1,10,3,0.0,0.0,0.0
1,1,10,4,0.0,0.0,0.0
1,1,10,5,0.0,0.0,0.0
1,1,10,6,0.0,0.0,0.0
1,1,11,1,0.0,0.0,0.0
1,1,11,2,0.0,0.0,0.0
1,1,11,3,0.0,0.0,0.0
1,1,11,4,0.0,0.0,0.0
1,1,11,5,0.0,0.0,0.0
1,1,11,6,0.0,0.0,0.0
1,1,12,1,0.0,0.0,0.0
1,1,12,2,0.0,0.0,0.0
1,1,12,3,0.0,0.0,0.0
1,1,12,4,0.0,0.0,0.0
1,1,12,5,0.0,0.0,0.0
1,1,12,6,0.0,0.0,0.0
1,1,13,1,0.0,0.0,0.0
1,1,13,2,0.0,0.0,0.0
1,1,13,3,0.0,0.0,0.0
1,1,13,4,0.0,0.0,0.0
1,1,13,5,0.0,0.0,0.0
1,1,13,6,0.0,0.0,0.0
1,1,14,1,0.0,0.0,0.0
1,1,14,2,0.0,0.0,0.0
1,1,14,3,0.0,0.0,0.0
1,1,14,4,0.0,0.0,0.0
1,1,14,5,0.0,0.0,0.0
1,1,14,6,0.0,0.0,0.0
1,1,15,1,0.0,0.0,0.0
1,1,15,2,0.0,0.0,0.0
1,1,15,3,0.0,0.0,0.0
1,1,15,4,0.0,0.0,0.0
1,1,15,5,0.0,0.0,0.0
1,1,15,6,0.0,0.0,0.0
1,1,16,1,0.0,0.0,0.0
1,1,16,2,0.0,0.0,0.0
1,1,16,3,0.0,0.0,0.0
1,1,16,4,0.0,0.0,0.0
1,1,16,5,0.0,0.0,0.0
1,1,16,6,0.0,0.0,0.0
1,1,17,1,0.0,0.0,0.0
1,1,17,2,0.0,0.0,0.0
1,1,17,3,0.0,0.0,0.0
1,1,17,4,0.0,0.0,0.0
