Central,Semana,Temporada,Caudal_m3s
4,1,1,115.56896935334927
4,1,2,111.96709817884127
4,1,3,117.41657761017127
4,1,4,67.95291516194229
4,1,5,78.94512810857815
4,1,6,68.3289395694881
4,2,1,114.00926662408605
4,2,2,116.95244824750066
4,2,3,116.53123133056403
4,2,4,65.19690483564517
4,2,5,68.58347881934633
4,2,6,76.1262343838808
4,3,1,113.74267191408647
4,3,2,115.04623038588034
4,3,3,67.90012367261394
4,3,4,64.4014929691478
4,3,5,63.7718046382207
4,3,6,70.52650369749847
4,4,1,115.45443693276195
4,4,2,116.81004811085757
4,4,3,116.18419223596861
4,4,4,113.76449948199233
4,4,5,64.04313727734991
4,4,6,69.34503434053538
4,5,1,110.7250933877792
4,5,2,115.03549427917582
4,5,3,74.99476194843314
4,5,4,70.19952596633962
4,5,5,83.11776277974617
4,5,6,70.54108587338979
4,6,1,114.36760397213703
4,6,2,118.2766684626368
4,6,3,116.65764152808606
4,6,4,78.35670729557752
4,6,5,90.55248371830943
4,6,6,82.42787262230894
4,7,1,115.71276038908891
4,7,2,118.01201401151403
4,7,3,114.95536525048225
4,7,4,95.99319064651546
4,7,5,89.00914981535797
4,7,6,88.80010068556
4,8,1,114.57169012881405
4,8,2,117.99062237792344
4,8,3,87.32394914403118
4,8,4,77.18824356851678
4,8,5,72.31577760938993
4,8,6,84.63436057641194
4,9,1,115.715957130836
4,9,2,115.1163371315663
4,9,3,118.56073785385581
4,9,4,82.49221256250166
4,9,5,80.3892737063581
4,9,6,115.19908300850035
4,10,1,115.26512934865347
4,10,2,115.55890138480657
4,10,3,116.48401059325617
4,10,4,81.23635993912336
4,10,5,75.67698864512371
4,10,6,85.42630988365548
4,11,1,112.25600184702611
4,11,2,115.32536675169834
4,11,3,87.6257924603403
4,11,4,80.53431588471426
4,11,5,82.07303831799638
4,11,6,77.42906344810925
4,12,1,115.20815697277845
4,12,2,115.5789838731504
4,12,3,79.53144210771237
4,12,4,77.46878012841526
4,12,5,77.46903608971897
4,12,6,114.73588408253971
4,13,1,117.93342098070968
4,13,2,127.78007398750879
4,13,3,125.21287913190139
4,13,4,120.6397042333092
4,13,5,120.42224370342372
4,13,6,122.01196900001943
4,14,1,127.82309821280849
4,14,2,123.88326907579598
4,14,3,123.8532654145943
4,14,4,117.57493077696034
4,14,5,119.58983731669548
4,14,6,115.72129743311083
4,15,1,112.79377181076538
4,15,2,124.57267741321391
4,15,3,126.37940652270356
4,15,4,114.67200635486294
4,15,5,110.54028030076869
4,15,6,116.73601803282841
4,16,1,119.6434282769872
4,16,2,126.62553543957353
4,16,3,127.34650277268378
4,16,4,128.81115578307762
4,16,5,119.3920745566518
4,16,6,121.90360707662862
4,17,1,119.35598473130644
4,17,2,114.57365174924779
4,17,3,119.31556743493098
4,17,4,118.80469846370715
4,17,5,121.74132917643199
4,17,6,123.88608257494806
4,18,1,128.18591489512974
4,18,2,114.02232819647142
4,18,3,125.33819258994339
4,18,4,116.60468959648259
4,18,5,125.34259242858911
4,18,6,122.75757613938566
4,19,1,118.17489844032318
4,19,2,119.47807187112093
4,19,3,132.60730933605714
4,19,4,121.62906972641412
4,19,5,123.99381365420328
4,19,6,119.7925778927621
4,20,1,125.00102984954185
4,20,2,111.72596546919507
4,20,3,114.32774542914035
4,20,4,115.37121707038223
4,20,5,124.47269335457972
4,20,6,117.2548904862571
4,21,1,103.2880027108951
4,21,2,110.91225306332133
4,21,3,114.30456398314945
4,21,4,103.40590203374079
4,21,5,111.85809749806275
4,21,6,105.33313995787493
4,22,1,108.17790706607859
4,22,2,111.59043361486451
4,22,3,107.51603471420114
4,22,4,109.81292917114484
4,22,5,104.50898637332635
4,22,6,110.69424956012459
4,23,1,112.52116476550425
4,23,2,114.08246554451537
4,23,3,108.76601798229696
4,23,4,106.85883361044884
4,23,5,113.77461310931251
4,23,6,116.92775090724506
4,24,1,105.61516406827813
4,24,2,107.7056175123764
4,24,3,113.13911342628505
4,24,4,103.71830779902642
4,24,5,110.14441592075924
4,24,6,116.10851036003636
4,25,1,112.86061599685615
4,25,2,112.45311459417975
4,25,3,112.86065806900403
4,25,4,114.48910854603768
4,25,5,112.39201215684416
4,25,6,112.55685775850984
4,26,1,112.30665986523596
4,26,2,114.35536647262913
4,26,3,114.01762600327287
4,26,4,112.92090787541436
4,26,5,113.22908123935838
4,26,6,112.4525168475477
4,27,1,112.58045404140661
4,27,2,113.53646633342697
4,27,3,111.42172050485219
4,27,4,113.27098352187714
4,27,5,112.69161672167428
4,27,6,111.45687404153041
4,28,1,114.51502712101869
4,28,2,113.86546038439276
4,28,3,113.42980113571124
4,28,4,113.7671582009328
4,28,5,113.28444979128211
4,28,6,112.72787809194088
4,29,1,114.33598087269186
4,29,2,113.18320899391075
4,29,3,112.18265857952314
4,29,4,113.91599369936513
4,29,5,112.80103864518857
4,29,6,113.94109407679997
4,30,1,114.44276810820517
4,30,2,113.05680459697139
4,30,3,112.7489939395177
4,30,4,113.53573852902058
4,30,5,96.64781017303442
4,30,6,113.03912751782765
4,31,1,115.00271906441135
4,31,2,113.82206351932507
4,31,3,111.86194879617759
4,31,4,112.57752736627688
4,31,5,101.04485254746184
4,31,6,112.30050814456092
4,32,1,113.6687132472618
4,32,2,112.87692057317537
4,32,3,104.11382673638077
4,32,4,108.40464063061692
4,32,5,102.94866800654817
4,32,6,111.95032944276832
4,33,1,112.0021380122034
4,33,2,113.99332004927388
4,33,3,114.2318270618777
4,33,4,112.49083979071665
4,33,5,102.47765025932718
4,33,6,103.35282481792878
4,34,1,112.27108777175678
4,34,2,111.7649311991768
4,34,3,112.78130704560955
4,34,4,114.33535314236147
4,34,5,113.07523320866356
4,34,6,113.54523561284793
4,35,1,113.56590857133274
4,35,2,112.86842862695654
4,35,3,103.50583608509339
4,35,4,112.89810716447418
4,35,5,114.22426045634833
