Semana,Temporada,Volumen_hm3
1,1,3166.9257658594533
1,2,2589.8823725746324
1,3,2200.6427542623833
1,4,1794.1229022222603
1,5,1543.2635822804982
1,6,1353.7013138160726
2,1,3134.632954198593
2,2,2543.7536721687156
2,3,2151.6576019487225
2,4,1786.8538305128075
2,5,1533.2296967626007
2,6,1348.14355196791
3,1,3095.3252133228475
3,2,2516.2749776313235
3,3,2144.4929251537064
3,4,1782.444105203829
3,5,1527.0878227427916
3,6,1341.2733867187364
4,1,3048.5684280442047
4,2,2474.640962692954
4,3,2104.016283125958
4,4,1740.6278675581932
4,5,1523.1878732295143
4,6,1332.0330867578102
5,1,3022.910307002814
5,2,2456.739400828433
5,3,2095.1556255791324
5,4,1735.4378027716555
5,5,1526.2625597753085
5,6,1321.7611708234788
6,1,2994.0324973265165
6,2,2417.885664690196
6,3,2064.151318721785
6,4,1727.7776568876682
6,5,1519.830739714702
6,6,1313.7145933171769
7,1,2956.9967470564247
7,2,2388.756589547856
7,3,2019.121152279806
7,4,1724.9537823758644
7,5,1508.0386303618263
7,6,1305.9256844172223
8,1,2929.354379629809
8,2,2369.416598538145
8,3,2015.5601158762333
8,4,1713.3014948860534
8,5,1501.3145705877894
8,6,1295.1474033876063
9,1,2902.9130504182053
9,2,2348.110673469542
9,3,1987.4409642594278
9,4,1710.6540668995347
9,5,1494.0034799998962
9,6,1269.5272299204134
10,1,2870.322942679984
10,2,2318.7227325575245
10,3,1947.5562882152337
10,4,1707.5060533743774
10,5,1487.3750467143602
10,6,1262.5710292910856
11,1,2847.9942898030736
11,2,2292.057863484223
11,3,1943.9287010320677
11,4,1699.8017835277321
11,5,1477.3998694324805
11,6,1256.2899597082635
12,1,2817.1703603606256
12,2,2256.392107051334
12,3,1937.5848741358923
12,4,1692.960711606067
12,5,1470.12355938399
12,6,1230.2413175220768
13,1,2829.7018758180516
13,2,2267.5986713943826
13,3,1954.944146807076
13,4,1708.2619089558536
13,5,1478.2870808631662
13,6,1246.4025649026971
14,1,2849.4106122639664
14,2,2282.895399423631
14,3,1969.7745197503425
14,4,1723.3769550021566
14,5,1499.369957577615
14,6,1263.1134330842408
15,1,2864.497933505554
15,2,2300.3621256016145
15,3,1987.2501469124675
15,4,1733.7161004447762
15,5,1521.1327606932196
15,6,1280.2974694913735
16,1,2882.901199031191
16,2,2321.097964244621
16,3,2005.8460978285866
16,4,1748.9817336025776
16,5,1539.2175735027702
16,6,1292.1751836425615
17,1,2898.036167700755
17,2,2333.3403674650403
17,3,2021.0036396160715
17,4,1764.5113798680677
17,5,1553.0848337299503
17,6,1303.1231719303175
18,1,2920.7457828531915
18,2,2344.7207118874917
18,3,2032.2433188081084
18,4,1781.0602549090015
18,5,1569.5985423461284
18,6,1321.370843471667
19,1,2935.552278038255
19,2,2363.8501306637195
19,3,2044.4996556287613
19,4,1798.568941694397
19,5,1590.1238631822775
19,6,1334.7613357941545
20,1,2948.9386535467443
20,2,2381.216738172503
20,3,2059.1949563571234
20,4,1810.183600537007
20,5,1604.0531575911334
20,6,1352.3713706661256
21,1,2964.229901430829
21,2,2392.682442398447
21,3,2073.9796936467606
21,4,1827.468247643333
21,5,1615.6633534334278
21,6,1365.6415372810425
22,1,2977.925455186137
22,2,2407.0046801258222
22,3,2091.464089125151
22,4,1844.6103723475883
22,5,1631.1935915325803
22,6,1383.2529212399631
23,1,2988.5039528018415
23,2,2420.91529800012
23,3,2106.1844271874907
23,4,1855.4547967677145
23,5,1640.7839251123767
23,6,1398.8488076664771
24,1,3005.280360115466
24,2,2440.688798571062
24,3,2121.063540527483
24,4,1867.4441192549061
24,5,1653.7134195129029
24,6,1411.9555281323476
25,1,3026.172066144689
25,2,2467.8248195841934
25,3,2146.0881869905897
25,4,1891.7609822440766
25,5,1677.541073718146
25,6,1439.805764540831
26,1,3055.720071975556
26,2,2497.7343605407377
26,3,2172.991558918673
26,4,1914.3968458611832
26,5,1699.6258258812034
26,6,1469.0976637002727
27,1,3078.943211225459
27,2,2525.8155203120527
27,3,2199.972624207956
27,4,1934.9743235051694
27,5,1719.5587330642775
27,6,1497.1204343147779
28,1,3098.711268847303
28,2,2551.981134363792
28,3,2222.9994416919367
28,4,1966.7473598096556
28,5,1747.4195528198068
28,6,1526.4232912819195
29,1,3119.6680586363937
29,2,2573.829904775943
29,3,2246.129699916882
29,4,1989.9260004314656
29,5,1767.8093640870168
29,6,1555.7584227038567
30,1,3143.117492227784
30,2,2610.9133831335475
30,3,2269.5674821998355
30,4,2022.7370909686356
30,5,1801.2624261204899
30,6,1585.0830774896008
31,1,3158.2209629603844
31,2,2631.336499469394
31,3,2289.9957228174817
31,4,2042.2483351346743
31,5,1826.658811674417
31,6,1609.913323425227
32,1,3183.9367224136636
32,2,2652.898091495747
32,3,2320.232748749256
32,4,2080.045345713951
32,5,1862.9222535705733
32,6,1644.4763690527247
33,1,3207.7146282908225
33,2,2671.5335463691717
33,3,2343.209669199131
33,4,2102.659166084432
33,5,1888.7981865088643
33,6,1672.7091267239937
34,1,3239.5516410268024
34,2,2699.247853276925
34,3,2367.611693382259
34,4,2133.211457495416
34,5,1914.1785518751321
34,6,1700.5200199836647
35,1,3262.0499222270055
35,2,2722.174884828276
35,3,2402.6509314084915
35,4,2162.0957188765224
35,5,1929.7939375527735
35,6,1726.943286616769
36,1,3290.9374013938223
36,2,2747.3152889575554
36,3,2433.980014819065
36,4,2185.9870929881795
36,5,1954.8358122932214
36,6,1759.847574058762
37,1,3238.7484479020854
37,2,2733.730999331556
37,3,2381.6237035005665
37,4,2134.0241388675404
37,5,1942.5129307615148
37,6,1748.6006661671738
38,1,3178.793437277834
38,2,2720.7074347458947
38,3,2320.9726121026183
38,4,2073.2106701932307
38,5,1882.0738446208584
38,6,1688.559803265355
39,1,3119.0362605102937
39,2,2661.9397888437725
39,3,2259.556037375561
39,4,2013.5316902878758
39,5,1821.6107426627818
39,6,1626.851751012148
40,1,3058.1272423066343
40,2,2601.5599236789944
40,3,2245.761867967461
40,4,1952.3149823465847
40,5,1761.9464341466758
40,6,1567.1953020500457
41,1,3005.8646944381762
41,2,2548.7169924579052
41,3,2192.5414557577774
41,4,1899.1992282564152
41,5,1708.1730786561081
41,6,1556.2409748808807
42,1,2953.802807955624
42,2,2494.658655237591
42,3,2140.502789521447
42,4,1846.0983562200659
42,5,1655.4468801067817
42,6,1544.7402747747612
43,1,2901.791541236352
43,2,2485.3664671077854
43,3,2087.0836324706333
43,4,1794.3559681220934
43,5,1604.9632010779355
43,6,1490.7081188375041
44,1,2848.9143746034906
44,2,2474.4900593657
44,3,2034.5718467763054
44,4,1782.7059208022183
44,5,1552.1782536137916
44,6,1437.3336614362483
45,1,2795.9204970326537
45,2,2421.818261050752
45,3,1980.688908395573
45,4,1730.3326164173566
45,5,1499.2979324782311
45,6,1385.128695916464
46,1,2736.9751794004696
46,2,2359.8477494531217
46,3,1919.7204351365017
46,4,1670.637305639605
46,5,1437.9178861628109
46,6,1324.0794831889086
47,1,2678.1425391047856
47,2,2298.9119216374283
47,3,1859.3553185827386
47,4,1610.7372649701301
47,5,1422.7229139342103
47,6,1262.4626495657355
48,1,2618.544421434657
48,2,2238.8286367150595
48,3,1799.1381628124143
48,4,1551.5303327924746
48,5,1363.824252651776
48,6,1200.0
