Uso,Semana,Temporada,Volumen_hm3
1,1,1,742.0091276539883
1,1,2,1655.0
1,1,3,1655.0
1,1,4,1655.0
1,1,5,1655.0
1,1,6,1655.0
1,2,1,712.8831195683624
1,2,2,1655.0
1,2,3,1655.0
1,2,4,1655.0
1,2,5,1655.0
1,2,6,1655.0
1,3,1,712.8831195683624
1,3,2,1655.0
1,3,3,1655.0
1,3,4,1655.0
1,3,5,1655.0
1,3,6,1655.0
1,4,1,712.8831195683624
1,4,2,1655.0
1,4,3,1655.0
1,4,4,1655.0
1,4,5,1655.0
1,4,6,1655.0
1,5,1,694.5734159944792
1,5,2,1655.0
1,5,3,1655.0
1,5,4,1655.0
1,5,5,1655.0
1,5,6,1655.0
1,6,1,694.5734159944792
1,6,2,1655.0
1,6,3,1655.0
1,6,4,1655.0
1,6,5,1655.0
1,6,6,1655.0
1,7,1,671.4562404620677
1,7,2,1655.0
1,7,3,1655.0
1,7,4,1655.0
1,7,5,1655.0
1,7,6,1655.0
1,8,1,671.4562404620677
1,8,2,1655.0
1,8,3,1655.0
1,8,4,1655.0
1,8,5,1655.0
1,8,6,1655.0
1,9,1,671.4562404620677
1,9,2,1655.0
1,9,3,1655.0
1,9,4,1655.0
1,9,5,1655.0
1,9,6,1655.0
1,10,1,656.5372665367752
1,10,2,1655.0
1,10,3,1624.840055276247
1,10,4,1655.0
1,10,5,1655.0
1,10,6,1655.0
1,11,1,636.3690505165982
1,11,2,1655.0
1,11,3,1624.840055276247
1,11,4,1655.0
1,11,5,1655.0
1,11,6,1655.0
1,12,1,614.0808682153029
1,12,2,1655.0
1,12,3,1624.840055276247
1,12,4,1655.0
1,12,5,1655.0
1,12,6,1632.013881351394
1,13,1,614.0808682153029
1,13,2,1655.0
1,13,3,1624.840055276247
1,13,4,1655.0
1,13,5,1655.0
1,13,6,1632.013881351394
1,14,1,614.0808682153029
1,14,2,1655.0
1,14,3,1624.840055276247
1,14,4,1655.0
1,14,5,1655.0
1,14,6,1632.013881351394
1,15,1,614.0808682153029
1,15,2,1655.0
1,15,3,1624.840055276247
1,15,4,1655.0
1,15,5,1655.0
1,15,6,1632.013881351394
1,16,1,614.0808682153029
1,16,2,1655.0
1,16,3,1624.840055276247
1,16,4,1655.0
1,16,5,1655.0
1,16,6,1632.013881351394
1,17,1,614.0808682153029
1,17,2,1655.0
1,17,3,1624.840055276247
1,17,4,1655.0
1,17,5,1655.0
1,17,6,1632.013881351394
1,18,1,614.0808682153029
1,18,2,1655.0
1,18,3,1624.840055276247
1,18,4,1655.0
1,18,5,1655.0
1,18,6,1632.013881351394
1,19,1,614.0808682153029
1,19,2,1655.0
1,19,3,1624.840055276247
1,19,4,1655.0
1,19,5,1655.0
1,19,6,1632.013881351394
1,20,1,614.0808682153029
1,20,2,1655.0
1,20,3,1624.840055276247
1,20,4,1655.0
1,20,5,1655.0
1,20,6,1632.013881351394
1,21,1,614.0808682153029
1,21,2,1655.0
1,21,3,1624.840055276247
1,21,4,1655.0
1,21,5,1655.0
1,21,6,1632.013881351394
1,22,1,614.0808682153029
1,22,2,1655.0
1,22,3,1624.840055276247
1,22,4,1655.0
1,22,5,1655.0
1,22,6,1632.013881351394
1,23,1,614.0808682153029
1,23,2,1655.0
1,23,3,1624.840055276247
1,23,4,1655.0
1,23,5,1655.0
1,23,6,1632.013881351394
1,24,1,614.0808682153029
1,24,2,1655.0
1,24,3,1624.840055276247
1,24,4,1655.0
1,24,5,1655.0
1,24,6,1632.013881351394
1,25,1,608.6112045912441
1,25,2,1651.3509045668993
1,25,3,1624.840055276247
1,25,4,1655.0
1,25,5,1655.0
1,25,6,1632.013881351394
1,26,1,602.359111845259
1,26,2,1644.7685921663883
1,26,3,1624.840055276247
1,26,4,1655.0
1,26,5,1655.0
1,26,6,1632.013881351394
1,27,1,598.5636339729263
1,27,2,1639.0760215151297
1,27,3,1624.840055276247
1,27,4,1655.0
1,27,5,1655.0
1,27,6,1632.013881351394
1,28,1,586.7704925825627
1,28,2,1629.7337584019515
1,28,3,1624.840055276247
1,28,4,1655.0
1,28,5,1644.774945966754
1,28,6,1632.013881351394
1,29,1,578.2371243784602
1,29,2,1629.7337584019515
1,29,3,1624.840055276247
1,29,4,1655.0
1,29,5,1644.774945966754
1,29,6,1632.013881351394
1,30,1,569.5750844335472
1,30,2,1629.7337584019515
1,30,3,1624.840055276247
1,30,4,1655.0
1,30,5,1644.774945966754
1,30,6,1632.013881351394
1,31,1,559.2742982867231
1,31,2,1629.7337584019515
1,31,3,1624.840055276247
1,31,4,1650.4228537305523
1,31,5,1644.774945966754
1,31,6,1632.013881351394
1,32,1,551.4997547783428
1,32,2,1629.7337584019515
1,32,3,1624.840055276247
1,32,4,1650.4228537305523
1,32,5,1644.774945966754
1,32,6,1632.013881351394
1,33,1,544.7547793575974
1,33,2,1622.5284785309007
1,33,3,1624.840055276247
1,33,4,1650.4228537305523
1,33,5,1644.774945966754
1,33,6,1632.013881351394
1,34,1,539.9458194385833
1,34,2,1614.4501565241064
1,34,3,1624.840055276247
1,34,4,1650.4228537305523
1,34,5,1644.774945966754
1,34,6,1632.013881351394
1,35,1,532.0742083168757
1,35,2,1602.8154064022483
1,35,3,1624.840055276247
1,35,4,1643.3624130250394
1,35,5,1644.774945966754
1,35,6,1632.013881351394
1,36,1,527.5167085966722
1,36,2,1598.242015115313
1,36,3,1624.840055276247
1,36,4,1643.3624130250394
1,36,5,1644.774945966754
1,36,6,1632.013881351394
1,37,1,487.15773128165023
1,37,2,1598.242015115313
1,37,3,1624.840055276247
1,37,4,1643.3624130250394
1,37,5,1644.774945966754
1,37,6,1632.013881351394
1,38,1,438.8826482251708
1,38,2,1598.242015115313
1,38,3,1624.840055276247
1,38,4,1643.3624130250394
1,38,5,1644.774945966754
1,38,6,1632.013881351394
1,39,1,392.2501597288155
1,39,2,1598.242015115313
1,39,3,1624.840055276247
1,39,4,1643.3624130250394
1,39,5,1644.774945966754
1,39,6,1632.013881351394
1,40,1,345.41098021244795
1,40,2,1598.242015115313
1,40,3,1624.840055276247
1,40,4,1643.3624130250394
1,40,5,1644.774945966754
1,40,6,1632.013881351394
1,41,1,304.2786769930329
1,41,2,1557.5456570702036
1,41,3,1624.840055276247
1,41,4,1643.3624130250394
1,41,5,1644.774945966754
1,41,6,1632.013881351394
1,42,1,262.6437256330015
1,42,2,1516.1343563854175
1,42,3,1624.840055276247
1,42,4,1643.3624130250394
1,42,5,1644.774945966754
1,42,6,1632.013881351394
1,43,1,222.35818785079636
1,43,2,1516.1343563854175
1,43,3,1624.840055276247
1,43,4,1643.3624130250394
1,43,5,1644.774945966754
1,43,6,1632.013881351394
1,44,1,180.32283390214513
1,44,2,1516.1343563854175
1,44,3,1624.840055276247
1,44,4,1643.3624130250394
1,44,5,1644.774945966754
1,44,6,1632.013881351394
1,45,1,138.95979300190112
1,45,2,1516.1343563854175
1,45,3,1624.840055276247
1,45,4,1643.3624130250394
1,45,5,1644.774945966754
1,45,6,1632.013881351394
1,46,1,92.22320840774745
1,46,2,1516.1343563854175
1,46,3,1624.840055276247
1,46,4,1643.3624130250394
1,46,5,1644.774945966754
1,46,6,1632.013881351394
1,47,1,46.29648980279351
1,47,2,1516.1343563854175
1,47,3,1624.840055276247
1,47,4,1643.3624130250394
1,47,5,1644.774945966754
1,47,6,1632.013881351394
1,48,1,0.0
1,48,2,1516.1343563854175
1,48,3,1624.840055276247
1,48,4,1643.3624130250394
1,48,5,1644.774945966754
1,48,6,1632.013881351394
2,1,1,417.7358490566037
2,1,2,1178.5218741561348
2,1,3,1173.129780260124
2,1,4,1200.0
2,1,5,1200.0
2,1,6,1200.0
2,2,1,417.7358490566037
2,2,2,1140.677441379046
2,2,3,1139.144526265336
2,2,4,1200.0
2,2,5,1200.0
2,2,6,1200.0
2,3,1,388.281547676934
2,3,2,1119.4280664546059
2,3,3,1139.144526265336
2,3,4,1200.0
2,3,5,1200.0
2,3,6,1200.0
2,4,1,350.68955081552093
2,4,2,1092.137694421687
2,4,3,1105.1306009490759
2,4,4,1170.680699393261
2,4,5,1200.0
2,4,6,1200.0
2,5,1,350.68955081552093
2,5,2,1069.4407434301909
2,5,3,1105.1306009490759
2,5,4,1170.680699393261
2,5,5,1200.0
2,5,6,1200.0
2,6,1,329.5557052386797
2,6,2,1042.7232255020817
2,6,3,1080.9580808134745
2,6,4,1170.680699393261
2,6,5,1200.0
2,6,6,1200.0
2,7,1,329.5557052386797
2,7,2,1017.8898270855498
2,7,3,1050.8145004427502
2,7,4,1170.680699393261
2,7,5,1200.0
2,7,6,1196.12887067969
2,8,1,309.1613216928051
2,8,2,993.810442449307
2,8,3,1050.8145004427502
2,8,4,1170.680699393261
2,8,5,1200.0
2,8,6,1196.12887067969
2,9,1,286.8910137596431
2,9,2,978.0665448283414
2,9,3,1032.1154473455042
2,9,4,1170.680699393261
2,9,5,1200.0
2,9,6,1173.9177338454165
2,10,1,278.2839469919322
2,10,2,958.2273627623784
2,10,3,1032.1154473455042
2,10,4,1170.680699393261
2,10,5,1200.0
2,10,6,1173.9177338454165
2,11,1,278.2839469919322
2,11,2,937.0235472270526
2,11,3,1032.1154473455042
2,11,4,1170.680699393261
2,11,5,1200.0
2,11,6,1173.9177338454165
2,12,1,278.2839469919322
2,12,2,911.8149091444056
2,12,3,1032.1154473455042
2,12,4,1170.680699393261
2,12,5,1200.0
2,12,6,1173.9177338454165
2,13,1,278.2839469919322
2,13,2,911.8149091444056
2,13,3,1032.1154473455042
2,13,4,1170.680699393261
2,13,5,1200.0
2,13,6,1173.9177338454165
2,14,1,278.2839469919322
2,14,2,911.8149091444056
2,14,3,1032.1154473455042
2,14,4,1170.680699393261
2,14,5,1200.0
2,14,6,1173.9177338454165
2,15,1,278.2839469919322
2,15,2,911.8149091444056
2,15,3,1032.1154473455042
2,15,4,1170.680699393261
2,15,5,1200.0
2,15,6,1173.9177338454165
2,16,1,278.2839469919322
2,16,2,911.8149091444056
2,16,3,1032.1154473455042
2,16,4,1170.680699393261
2,16,5,1200.0
2,16,6,1173.9177338454165
2,17,1,278.2839469919322
2,17,2,911.8149091444056
2,17,3,1032.1154473455042
2,17,4,1170.680699393261
2,17,5,1200.0
2,17,6,1173.9177338454165
2,18,1,278.2839469919322
2,18,2,911.8149091444056
2,18,3,1032.1154473455042
2,18,4,1170.680699393261
2,18,5,1200.0
2,18,6,1173.9177338454165
2,19,1,278.2839469919322
2,19,2,911.8149091444056
2,19,3,1032.1154473455042
2,19,4,1170.680699393261
2,19,5,1200.0
2,19,6,1173.9177338454165
2,20,1,278.2839469919322
2,20,2,911.8149091444056
2,20,3,1032.1154473455042
2,20,4,1170.680699393261
2,20,5,1200.0
2,20,6,1173.9177338454165
2,21,1,278.2839469919322
2,21,2,911.8149091444056
2,21,3,1032.1154473455042
2,21,4,1170.680699393261
2,21,5,1200.0
2,21,6,1173.9177338454165
2,22,1,278.2839469919322
2,22,2,911.8149091444056
2,22,3,1032.1154473455042
2,22,4,1170.680699393261
2,22,5,1200.0
2,22,6,1173.9177338454165
2,23,1,278.2839469919322
2,23,2,911.8149091444056
2,23,3,1032.1154473455042
2,23,4,1170.680699393261
2,23,5,1200.0
2,23,6,1173.9177338454165
2,24,1,278.2839469919322
2,24,2,911.8149091444056
2,24,3,1032.1154473455042
2,24,4,1170.680699393261
2,24,5,1200.0
2,24,6,1173.9177338454165
2,25,1,278.2839469919322
2,25,2,911.8149091444056
2,25,3,1024.847708445286
2,25,4,1163.12253636306
2,25,5,1192.2762109445487
2,25,6,1168.5895423483446
2,26,1,278.2839469919322
2,26,2,911.8149091444056
