Central,Semana,Caudal_m3s
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.8813666905506647
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,13.882556585591402
1,15,0.0
1,16,0.0
1,17,0.0
1,18,14.19636969452214
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,38.7371572784703
1,25,43.56137779185606
1,26,61.29230879750824
1,27,52.94163679750827
1,28,66.5422037975079
1,29,40.54548379750827
1,30,61.86174629750768
1,31,26.053848083222505
1,32,65.19913655245723
1,33,30.895947511793963
1,34,32.20660379750802
1,35,17.896253797508816
1,36,8.015391297508124
1,37,0.0
1,38,0.0
1,39,0.0
1,40,0.0
1,41,0.0
1,42,0.0
1,43,0.0
1,44,0.0
1,45,0.0
1,46,0.0
1,47,0.0
1,48,0.0
2,1,43.90138825232458
2,2,43.43299918397938
2,3,43.43078308397938
2,4,43.674910083979384
2,5,44.324621483979385
2,6,43.59293811625518
2,7,43.852475016255184
2,8,46.15182171625518
2,9,48.84363831625518
2,10,51.02814141625518
2,11,47.073334283979385
2,12,77.5
2,13,60.77335324010281
2,14,55.625780140102805
2,15,55.38549569109045
2,16,55.97048849109045
2,17,54.63588059109045
2,18,53.64514249465695
2,19,76.31099675994743
2,20,65.13071959396426
2,21,58.42758899396426
2,22,59.37437787661749
2,23,59.87394020249174
2,24,55.74239180249174
2,25,55.01475780249174
2,26,54.42628820249173
2,27,56.27233940249174
2,28,57.88833700249174
2,29,56.89350820249174
2,30,57.939728202491736
2,31,58.54706820249174
2,32,59.86282420249174
2,33,56.48519940249174
2,34,55.97186020249174
2,35,54.751546002491736
2,36,54.13674330249174
2,37,52.91293148820602
2,38,53.811846202491736
2,39,54.17553995249174
2,40,54.00167935161748
2,41,53.35607133376034
2,42,53.76807061947463
2,43,52.65198158734872
2,44,52.622521444491575
2,45,51.77323573020586
2,46,51.21356459396426
2,47,50.35106459396425
2,48,50.54231459396426
3,1,51.88173673803887
3,2,51.03712130897807
3,3,50.983857541122234
3,4,56.851428433979386
3,5,56.51418296969368
3,6,53.48216366625518
3,7,56.31984329125519
3,8,82.34140885680584
3,9,110.89136048768376
3,10,134.7759022912552
3,11,86.56758311255082
3,12,200.0
3,13,200.0
3,14,169.12697975069423
3,15,147.64889396609044
3,16,154.04498696609045
3,17,139.45288216251902
3,18,137.8488230891791
3,19,200.0
3,20,200.0
3,21,190.3179250225357
3,22,200.0
3,23,200.0
3,24,200.0
3,25,194.3299199943478
3,26,200.0
3,27,200.0
3,28,200.0
3,29,200.0
3,30,200.0
3,31,200.0
3,32,200.0
3,33,200.0
3,34,183.02523999999977
3,35,147.29746925000055
3,36,125.23267674999985
3,37,102.54154391677746
3,38,96.21614320249174
3,39,92.03761170249174
3,40,86.77711847661749
3,41,82.74272390518891
3,42,80.98852876233178
3,43,77.71372601592014
3,44,75.28892481949157
3,45,71.75654458734873
3,46,70.09989571896426
3,47,70.10171719396426
3,48,68.57469571896425
4,1,0.0
4,2,0.0
4,3,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
4,20,0.0
4,21,0.0
4,22,0.0
4,23,0.0
4,24,0.0
4,25,0.0
4,26,0.0
4,27,0.0
4,28,0.0
4,29,0.0
4,30,0.0
4,31,0.0
4,32,0.0
4,33,0.0
4,34,0.0
4,35,0.0
4,36,0.0
4,37,0.0
4,38,0.0
4,39,0.0
4,40,0.0
4,41,0.0
4,42,0.0
4,43,0.0
4,44,0.0
4,45,0.0
4,46,0.0
4,47,0.0
4,48,0.0
5,1,0.0
5,2,0.0
5,3,0.0
5,4,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,3.5871428571428545
5,10,3.8225000000000016
5,11,0.0
5,12,65.61874999999999
5,13,25.434285714285707
5,14,0.0
5,15,10.03875
5,16,31.25625
5,17,21.737142857142857
5,18,0.0
5,19,120.79374999999999
5,20,57.7225
5,21,41.364285714285714
5,22,70.0075
5,23,75.58142857142856
5,24,0.0
5,25,23.397142857142853
5,26,15.975000000000001
5,27,0.0
5,28,21.505
5,29,0.0
5,30,21.45875
5,31,25.185714285714287
5,32,0.0
5,33,0.0
5,34,16.005
5,35,0.0
5,36,0.0
5,37,0.0
5,38,0.0
5,39,1.946250000000001
5,40,0.0
5,41,0.0
5,42,0.0
5,43,0.0
5,44,0.0
5,45,0.0
5,46,0.0
5,47,0.0
5,48,0.0
6,1,1.5585714285714285
6,2,1.54875
6,3,1.5414285714285716
6,4,3.1950000000000003
6,5,2.9528571428571424
6,6,2.11375
6,7,3.9762500000000003
6,8,9.80125
6,9,10.0
6,10,10.0
6,11,6.852857142857142
6,12,10.0
6,13,10.0
6,14,10.0
6,15,10.0
6,16,10.0
6,17,10.0
6,18,10.0
6,19,10.0
6,20,10.0
6,21,10.0
6,22,10.0
6,23,10.0
6,24,10.0
6,25,10.0
6,26,10.0
6,27,10.0
6,28,10.0
6,29,10.0
6,30,10.0
6,31,10.0
6,32,10.0
6,33,10.0
6,34,10.0
6,35,10.0
6,36,10.0
6,37,10.0
6,38,10.0
6,39,10.0
6,40,10.0
6,41,9.167142857142855
6,42,8.667142857142856
6,43,7.7385714285714275
6,44,7.168750000000001
6,45,6.447142857142857
6,46,5.8549999999999995
6,47,6.1375
6,48,5.446249999999999
7,1,18.401736738039528
7,2,17.557121308978076
7,3,17.503857541122795
7,4,23.37142843397939
7,5,56.51418296969368
7,6,53.48216366625518
7,7,56.31984329125519
7,8,82.34140885680584
7,9,110.89136048768376
7,10,120.0
7,11,86.56758311255082
7,12,120.0
7,13,120.0
7,14,120.0
7,15,120.0
7,16,120.0
7,17,120.0
7,18,120.0
7,19,120.0
7,20,120.0
7,21,120.0
7,22,120.0
7,23,120.0
7,24,120.0
7,25,120.0
7,26,120.0
7,27,120.0
7,28,120.0
7,29,120.0
7,30,120.0
7,31,120.0
7,32,120.0
7,33,120.0
7,34,120.0
7,35,113.81746925000056
7,36,91.75267674999986
7,37,69.06154391677745
7,38,62.736143202491746
7,39,58.55761170249174
7,40,53.29711847661749
7,41,49.26272390518892
7,42,47.50852876233178
7,43,44.233726015920155
7,44,41.80892481949158
7,45,38.27654458734873
7,46,36.619895718964266
7,47,36.62171719396426
7,48,35.09469571896425
8,1,19.960308166610957
8,2,19.105871308978074
8,3,19.045286112551366
8,4,26.56642843397939
8,5,59.46704011255082
8,6,55.595913666255186
8,7,60.29609329125519
8,8,92.14265885680584
8,9,120.89136048768376
8,10,130.0
8,11,93.42044025540797
8,12,130.0
8,13,130.0
8,14,130.0
8,15,130.0
8,16,130.0
8,17,130.0
8,18,130.0
8,19,130.0
8,20,130.0
8,21,130.0
8,22,130.0
8,23,130.0
8,24,130.0
8,25,130.0
8,26,130.0
8,27,130.0
8,28,130.0
8,29,130.0
8,30,130.0
8,31,130.0
8,32,130.0
8,33,130.0
8,34,130.0
8,35,123.81746925000056
8,36,101.75267674999986
8,37,79.06154391677747
8,38,72.73614320249175
8,39,68.55761170249174
8,40,63.2971184766175
8,41,58.42986676233178
8,42,56.175671619474635
8,43,51.97229744449158
8,44,48.97767481949158
8,45,44.72368744449159
8,46,42.47489571896426
8,47,42.75921719396426
8,48,40.54094571896425
9,1,19.960308166610957
9,2,19.105871308978074
9,3,19.045286112551366
9,4,26.56642843397939
9,5,59.46704011255082
9,6,55.595913666255186
9,7,60.29609329125519
9,8,92.14265885680584
9,9,120.89136048768376
9,10,127.3
9,11,93.42044025540797
9,12,127.3
9,13,127.3
9,14,127.3
9,15,127.3
9,16,127.3
9,17,127.3
9,18,127.3
9,19,127.3
9,20,127.3
9,21,127.3
9,22,127.3
9,23,127.3
9,24,127.3
9,25,127.3
9,26,127.3
9,27,127.3
9,28,127.3
9,29,127.3
9,30,127.3
9,31,127.3
9,32,127.3
9,33,127.3
9,34,127.3
9,35,123.81746925000056
9,36,101.75267674999986
9,37,79.06154391677745
9,38,72.73614320249175
9,39,68.55761170249174
9,40,63.29711847661749
9,41,58.42986676233178
9,42,56.175671619474635
9,43,51.97229744449158
9,44,48.97767481949158
9,45,44.72368744449159
9,46,42.47489571896426
9,47,42.75921719396426
9,48,40.54094571896425
10,1,0.0
10,2,0.0
10,3,0.0
10,4,0.0
10,5,0.0
10,6,0.0
10,7,0.0
10,8,0.0
10,9,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
10,20,0.0
10,21,0.0
10,22,0.0
10,23,0.0
10,24,0.0
10,25,0.0
10,26,0.0
10,27,0.0
10,28,0.0
10,29,0.0
10,30,0.0
10,31,0.0
10,32,0.0
10,33,0.0
10,34,0.0
10,35,0.0
10,36,0.0
10,37,0.0
10,38,0.0
10,39,0.0
10,40,0.0
10,41,0.0
10,42,0.0
10,43,0.0
10,44,0.0
10,45,0.0
10,46,0.0
10,47,0.0
10,48,0.0
11,1,20.0
11,2,20.0
11,3,20.0
11,4,20.0
11,5,20.0
11,6,20.0
11,7,20.0
11,8,20.0
11,9,20.0
11,10,20.0
11,11,20.0
11,12,20.0
11,13,20.0
11,14,20.0
11,15,20.0
11,16,20.0
11,17,20.0
11,18,20.0
11,19,20.0
11,20,20.0
11,21,20.0
11,22,20.0
11,23,20.0
11,24,20.0
11,25,20.0
11,26,20.0
11,27,20.0
11,28,20.0
11,29,20.0
11,30,20.0
11,31,20.0
11,32,20.0
11,33,20.0
11,34,20.0
11,35,20.0
11,36,20.0
11,37,20.0
11,38,20.0
11,39,20.0
11,40,20.0
11,41,20.0
11,42,20.0
11,43,20.0
11,44,20.0
11,45,20.0
11,46,20.0
11,47,20.0
11,48,20.0
12,1,0.0
12,2,0.0
12,3,0.0
12,4,0.0
12,5,0.0
12,6,0.0
12,7,0.0
12,8,0.0
12,9,0.0
12,10,0.0
12,11,0.0
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
12,20,0.0
12,21,0.0
12,22,0.0
12,23,0.0
12,24,0.0
12,25,0.0
12,26,0.0
12,27,0.0
12,28,0.0
12,29,0.0
12,30,0.0
12,31,0.0
12,32,0.0
12,33,0.0
12,34,0.0
12,35,0.0
12,36,0.0
12,37,0.0
12,38,0.0
12,39,0.0
12,40,0.0
12,41,0.0
12,42,0.0
12,43,0.0
12,44,0.0
12,45,0.0
12,46,0.0
12,47,0.0
12,48,0.0
13,1,24.048113014462015
13,2,23.114572686088408
13,3,18.4561581866817
13,4,27.16068279939975
13,5,57.97096747058331
13,6,51.132182999332684
13,7,69.41423770721727
13,8,121.45402121674343
13,9,162.3843507598751
13,10,223.7315203342477
13,11,93.86878289965664
13,12,250.4
13,13,250.4
13,14,174.41731855061133
13,15,177.6860585910904
13,16,250.4
13,17,226.6329514482333
13,18,199.21532958917905
13,19,250.4
13,20,250.4
13,21,247.19910030825002
13,22,250.4
13,23,250.4
13,24,239.77696598096205
13,25,197.35190256577636
13,26,172.495
13,27,172.47125
13,28,206.6358479999996
13,29,176.63285714285715
13,30,202.91758749999946
13,31,181.70571428571432
13,32,240.17773775494902
13,33,173.24285714285713
13,34,152.0502399999998
13,35,111.32496925000055
13,36,85.78142674999987
13,37,63.9683247739203
13,38,66.24454620249172
13,39,63.95773370249173
13,40,59.439704476617464
13,41,55.21599376233176
13,42,54.150408048046074
13,43,49.32320715877729
13,44,51.42361089892143
13,45,56.08029153416257
13,46,49.395308132738975
13,47,51.78041420421187
13,48,48.863406924706894
14,1,0.0
14,2,0.0
14,3,0.0
14,4,0.0
14,5,0.0
14,6,0.0
14,7,0.0
14,8,0.0
14,9,0.0
14,10,0.0
14,11,0.0
14,12,0.0
14,13,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
14,20,0.0
14,21,0.0
14,22,0.0
14,23,0.0
14,24,0.0
14,25,0.0
14,26,0.0
14,27,0.0
14,28,0.0
14,29,0.0
14,30,0.0
14,31,0.0
14,32,0.0
14,33,0.0
14,34,0.0
14,35,0.0
14,36,0.0
14,37,0.0
14,38,0.0
14,39,0.0
14,40,0.0
14,41,0.0
14,42,0.0
14,43,0.0
14,44,0.0
14,45,0.0
14,46,0.0
14,47,0.0
14,48,0.0
15,1,20.0
15,2,20.0
15,3,20.0
15,4,20.0
15,5,20.0
15,6,20.0
15,7,20.0
15,8,20.0
15,9,20.0
15,10,20.0
15,11,20.0
15,12,20.0
15,13,20.0
15,14,20.0
15,15,20.0
15,16,20.0
15,17,20.0
15,18,20.0
15,19,20.0
15,20,20.0
15,21,20.0
15,22,20.0
15,23,20.0
15,24,20.0
15,25,20.0
15,26,20.0
15,27,20.0
15,28,20.0
15,29,20.0
15,30,20.0
15,31,20.0
15,32,20.0
15,33,20.0
15,34,20.0
15,35,20.0
15,36,20.0
15,37,20.0
15,38,20.0
15,39,20.0
15,40,20.0
15,41,20.0
15,42,20.0
15,43,20.0
15,44,20.0
15,45,20.0
15,46,20.0
15,47,20.0
15,48,20.0
16,1,43.59761945232458
16,2,43.09752068397938
16,3,43.097520683979376
16,4,43.09752068397938
16,5,43.09752068397938
16,6,42.597407916255186
16,7,42.597407916255186
16,8,42.59740791625518
16,9,42.59740791625518
16,10,42.59740791625518
16,11,43.09752068397938
16,12,45.09716878889594
16,13,45.5973540401028
16,14,45.5973540401028
16,15,46.097508591090445
16,16,46.097508591090445
16,17,46.097508591090445
16,18,46.59763489465695
16,19,48.09705155994743
16,20,48.597314593964256
16,21,48.597314593964256
16,22,49.597679476617486
16,23,50.097796202491736
16,24,50.097796202491736
16,25,50.097796202491736
16,26,50.097796202491736
16,27,50.097796202491736
16,28,50.097796202491736
16,29,50.097796202491736
16,30,50.097796202491736
16,31,50.097796202491736
16,32,50.097796202491736
16,33,50.097796202491736
16,34,50.097796202491736
16,35,50.097796202491736
16,36,50.097796202491736
16,37,50.097796202491736
16,38,50.097796202491736
16,39,50.097796202491736
16,40,49.597679476617486
