Central,Semana,Caudal_m3s
2,12,14.55188568889595
3,12,358.48252341389605
3,13,11.526066754388523
3,19,156.5778010599475
3,20,29.36739584396426
3,22,45.52790847661754
3,23,46.01750763106318
3,24,6.622551980962037
3,28,28.61084799999962
3,30,24.93883749999945
3,32,58.305237754949005
4,1,18.401736738039528
4,2,17.557121308978076
4,3,17.503857541122795
4,4,23.37142843397939
4,5,56.51418296969368
4,6,53.48216366625518
4,7,56.31984329125519
4,8,82.34140885680584
4,9,110.89136048768376
4,10,134.7759022912552
4,11,86.56758311255082
4,12,120.0
4,13,204.52618879743065
4,14,169.12697975069423
4,15,147.64889396609044
4,16,123.33665337500004
4,17,139.45288216251902
4,18,137.8488230891791
4,19,120.0
4,20,219.36755733314502
4,21,156.8379250225357
4,22,198.71147900000003
4,23,149.08971142857138
4,24,173.14255198096205
4,25,160.8499199943478
4,26,166.52
4,27,166.52
4,28,195.13084799999962
4,29,166.52
4,30,191.45883749999945
4,31,166.52
4,32,224.825237754949
4,33,166.52
4,34,149.54523999999978
4,35,113.81746925000056
4,36,91.75267674999986
4,37,69.06154391677745
4,38,62.736143202491746
4,39,58.55761170249174
4,40,53.29711847661749
4,41,49.26272390518892
4,42,47.50852876233178
4,43,44.233726015920155
4,44,41.80892481949158
4,45,38.27654458734873
4,46,36.619895718964266
4,47,36.62171719396426
4,48,35.09469571896425
5,1,1.5585714285714285
5,2,1.54875
5,3,1.5414285714285716
5,4,3.1950000000000003
5,5,2.9528571428571424
5,6,2.11375
5,7,3.9762500000000003
5,8,9.80125
5,9,10.0
5,10,10.0
5,11,6.852857142857142
5,12,10.0
5,13,10.0
5,14,13.29875
5,15,10.0
5,16,10.0
5,17,10.0
5,18,25.15
5,19,10.0
5,20,10.0
5,21,10.0
5,22,10.0
5,23,10.0
5,24,42.35125000000001
5,25,10.0
5,26,10.0
5,27,25.95125
5,28,10.0
5,29,30.11285714285714
5,30,10.0
5,31,10.0
5,32,35.3525
5,33,30.222857142857144
5,34,10.0
5,35,21.0075
5,36,17.52875
5,37,14.154285714285715
5,38,13.01625
5,39,10.0
5,40,10.36875
5,41,9.167142857142855
5,42,8.667142857142856
5,43,7.7385714285714275
5,44,7.168750000000001
5,45,6.447142857142857
5,46,5.8549999999999995
5,47,6.1375
5,48,5.446249999999999
6,14,3.2987499999999947
6,18,15.15
6,24,32.35125000000001
6,27,15.951250000000002
6,29,20.11285714285713
6,32,25.3525
6,33,20.222857142857144
6,35,11.0075
6,36,7.528749999999999
6,37,4.1542857142857095
6,38,3.0162499999999994
6,40,0.368749999999995
7,10,14.775902291255193
7,13,84.52618879743065
7,14,49.12697975069423
7,15,27.64889396609044
7,16,3.33665337500004
7,17,19.452882162519018
7,18,17.848823089179092
7,20,99.36755733314502
7,21,36.8379250225357
7,22,78.71147900000003
7,23,29.089711428571377
7,24,53.14255198096205
7,25,40.8499199943478
7,26,46.52000000000001
7,27,46.52000000000001
7,28,75.13084799999963
7,29,46.52000000000001
7,30,71.45883749999946
7,31,46.52000000000001
7,32,104.82523775494901
7,33,46.52000000000001
7,34,29.54523999999978
9,10,2.7
9,12,2.7
9,13,2.7
9,14,2.7
9,15,2.7
9,16,2.7
9,17,2.7
9,18,2.7
9,19,2.7
9,20,2.7
9,21,2.7
9,22,2.7
9,23,2.7
9,24,2.7
9,25,2.7
9,26,2.7
9,27,2.7
9,28,2.7
9,29,2.7
9,30,2.7
9,31,2.7
9,32,2.7
9,33,2.7
9,34,2.7
10,1,44.04811301446202
10,2,43.11457268608841
10,3,38.456158186681705
10,4,47.16068279939975
10,5,77.9709674705833
10,6,71.13218299933268
10,7,89.41423770721727
10,8,141.45402121674343
10,9,182.3843507598751
10,10,243.7315203342477
10,11,113.86878289965664
10,12,507.17260216819733
10,13,309.73146061072083
10,14,194.41731855061133
10,15,197.6860585910904
10,16,270.4
10,17,246.6329514482333
10,18,219.21532958917905
10,19,511.5855004999999
10,20,382.98497608314494
10,21,267.19910030825
10,22,400.4
10,23,400.4
10,24,259.776965980962
10,25,217.35190256577636
10,26,192.495
10,27,192.47125
10,28,226.6358479999996
10,29,196.63285714285715
10,30,222.91758749999946
10,31,201.7057142857143
10,32,260.177737754949
10,33,196.74285714285713
10,34,175.55023999999977
10,35,134.82496925000055
10,36,109.28142674999987
10,37,90.9683247739203
10,38,93.24454620249172
10,39,90.95773370249174
10,40,86.43970447661746
10,41,82.21599376233176
10,42,81.15040804804607
10,43,76.32320715877728
10,44,78.42361089892142
10,45,76.08029153416257
10,46,69.39530813273898
10,47,71.78041420421187
10,48,68.8634069247069
11,1,24.048113014462015
11,2,23.114572686088408
11,3,18.4561581866817
11,4,27.16068279939975
11,5,57.97096747058331
11,6,51.13218299933268
11,7,69.41423770721727
11,8,121.45402121674343
11,9,162.3843507598751
11,10,223.7315203342477
11,11,93.86878289965664
11,12,487.17260216819733
11,13,289.73146061072083
11,14,174.41731855061133
11,15,177.6860585910904
11,16,250.4
11,17,226.6329514482333
11,18,199.21532958917905
11,19,491.5855004999999
11,20,362.98497608314494
11,21,247.19910030825002
11,22,380.4
11,23,380.4
11,24,239.77696598096205
11,25,197.35190256577636
11,26,172.495
11,27,172.47125
11,28,206.6358479999996
11,29,176.63285714285715
11,30,202.91758749999946
11,31,181.7057142857143
11,32,240.17773775494902
11,33,176.74285714285713
11,34,155.55023999999977
11,35,114.82496925000055
11,36,89.28142674999987
11,37,70.9683247739203
11,38,73.24454620249172
11,39,70.95773370249174
11,40,66.43970447661746
11,41,62.21599376233176
11,42,61.150408048046074
11,43,56.32320715877729
11,44,58.42361089892143
11,45,56.08029153416257
11,46,49.395308132738975
11,47,51.78041420421187
11,48,48.863406924706894
12,1,24.048113014462015
12,2,23.114572686088408
12,3,18.4561581866817
12,4,27.16068279939975
12,5,57.97096747058331
12,6,51.13218299933268
12,7,69.41423770721727
12,8,121.45402121674343
12,9,162.3843507598751
12,10,223.7315203342477
12,11,93.86878289965664
12,12,487.17260216819733
12,13,289.73146061072083
12,14,174.41731855061133
12,15,177.6860585910904
12,16,250.4
12,17,226.6329514482333
12,18,199.21532958917905
12,19,491.5855004999999
12,20,362.98497608314494
12,21,247.19910030825002
12,22,380.4
12,23,380.4
12,24,239.77696598096205
12,25,197.35190256577636
12,26,172.495
12,27,172.47125
12,28,206.6358479999996
12,29,176.63285714285715
12,30,202.91758749999946
12,31,181.7057142857143
12,32,240.17773775494902
12,33,173.24285714285713
12,34,152.0502399999998
12,35,111.32496925000055
12,36,85.78142674999987
12,37,63.9683247739203
12,38,66.24454620249172
12,39,63.95773370249173
12,40,59.439704476617464
12,41,55.21599376233176
12,42,54.150408048046074
12,43,49.32320715877729
12,44,51.42361089892143
12,45,56.08029153416257
12,46,49.395308132738975
12,47,51.78041420421187
12,48,48.863406924706894
13,12,236.77260216819732
13,13,39.331460610720825
13,19,241.1855004999999
13,20,112.58497608314494
13,22,130.0
13,23,130.0
