Semana,Volumen_hm3
1,4779.907957248854
2,4759.497980608229
3,4739.095216136924
4,4727.279544185979
5,4708.40574305977
6,4686.678090170632
7,4673.973497067403
8,4664.941917602389
9,4673.081622262817
10,4701.5476434077855
11,4706.595003510073
12,4968.30915670773
13,5028.295003141998
14,5050.2191285598155
15,5083.133340861654
16,5111.636124683492
17,5138.718147647601
18,5153.05427183556
19,5327.7476057973245
20,5387.691189949976
21,5422.5662300835465
22,5496.5823940293085
23,5576.010382886041
24,5582.0
25,5580.550785328219
26,5560.167933232219
27,5554.017042582619
28,5554.017042582619
29,5558.069750358619
30,5554.017042582619
31,5572.7328801186195
32,5572.326328198399
33,5582.0
34,5582.0
35,5582.0
36,5582.0
37,5577.548821176733
38,5568.400238841571
39,5556.957261306409
40,5542.886361572171
41,5527.366160544713
42,5511.861433757255
43,5494.357446067626
44,5476.941468657998
45,5457.926396808369
46,5436.06919984102
47,5418.845980473672
48,5398.700350226324
