Uso,Semana,Volumen_hm3
Riego,0,1645.04
Generación,0,1200.0
Riego,1,1645.04
Riego,2,1645.04
Riego,3,1589.9427199999993
Riego,4,1555.723740948124
Riego,5,1500.626460948124
Riego,6,1500.626460948124
Riego,7,1500.626460948124
Riego,8,1500.626460948124
Riego,9,1445.5291809481241
Riego,10,1445.5291809481241
Riego,11,1390.4319009481242
Riego,12,1390.4319009481242
Riego,13,1345.947840000039
Riego,14,1282.979520000039
Riego,15,1220.011200000039
Riego,16,1220.011200000039
Riego,17,1164.913920000039
Riego,18,1101.9456000000391
Riego,19,1038.9772800000392
Riego,20,976.0089600000392
Riego,21,920.9116800000393
Riego,22,920.9116800000393
Riego,23,865.8144000000393
Riego,24,802.8460800000394
Riego,25,747.7488000000394
Riego,26,684.7804800000395
Riego,27,621.8121600000395
Riego,28,621.8121600000395
Riego,29,566.7148800000396
Riego,30,566.7148800000396
Riego,31,511.6176000000396
Riego,32,511.6176000000396
Riego,33,456.5203200000396
Riego,34,393.5520000000396
Riego,35,393.5520000000396
Riego,36,393.5520000000396
Riego,37,338.4547200000396
Riego,38,338.4547200000396
Riego,39,338.4547200000396
Riego,40,338.4547200000396
Riego,41,283.35744000003956
Riego,42,228.26016000002835
Riego,43,173.1628799999993
Riego,44,118.06559999999929
Riego,45,62.968319999999295
Riego,46,62.968319999999295
Riego,47,0.0
Riego,48,0.0
Generación,1,1145.0139592467835
Generación,2,1082.0456392467836
Generación,3,1082.0456392467834
Generación,4,1053.2962982986587
Generación,5,1053.2962982986587
Generación,6,990.3279782986588
Generación,7,927.3596582986588
Generación,8,864.3913382986589
Generación,9,864.3913382986589
Generación,10,816.5436890793287
Generación,11,816.5436890793287
Generación,12,753.5753690793288
Generación,13,753.5753690793288
Generación,14,753.5753690793288
Generación,15,753.5753690793288
Generación,16,690.6070490793288
Generación,17,690.6070490793288
Generación,18,690.6070490793288
Generación,19,690.6070490793288
Generación,20,690.6070490793288
Generación,21,690.6070490793288
Generación,22,627.6387290793289
Generación,23,627.6387290793289
Generación,24,627.6387290793289
Generación,25,627.6387290793289
Generación,26,627.6387290793289
Generación,27,627.6387290793289
Generación,28,564.6704090793289
Generación,29,564.6704090793289
Generación,30,501.7020890793289
Generación,31,501.7020890793289
Generación,32,438.7337690793289
Generación,33,438.7337690793289
Generación,34,438.7337690793289
Generación,35,375.7654490793289
Generación,36,312.7971290793289
Generación,37,312.7971290793289
Generación,38,249.8288090793289
Generación,39,186.8604890793289
Generación,40,123.89216907932888
Generación,41,123.89216907932888
Generación,42,123.89216907932888
Generación,43,123.89216907932888
Generación,44,123.89216907932888
Generación,45,123.89216907932888
Generación,46,60.9238490793289
Generación,47,60.9238490793289
Generación,48,0.0
