Central,Semana,Caudal_m3s
1,1,2.319654696885209
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,4.924947825145864
1,11,1.8973693542793626
1,12,0.0
1,13,0.0
1,14,27.181206972539155
1,15,0.0
1,16,91.1
1,17,5.264075750179011
1,18,0.0
1,19,0.0
1,20,0.0
1,21,0.0
1,22,0.0
1,23,0.0
1,24,0.0
1,25,68.34442085357725
1,26,11.420099131117976
1,27,91.1
1,28,87.26632810938803
1,29,0.0
1,30,91.1
1,31,0.0
1,32,34.3439209249765
1,33,91.1
1,34,85.5673841741899
1,35,0.0
1,36,63.36666540910059
1,37,91.1
1,38,91.1
1,39,91.1
1,40,91.1
1,41,91.1
1,42,0.0
1,43,23.12737589851509
1,44,0.0
1,45,0.0
1,46,78.53183065553883
1,47,76.79912725681118
1,48,0.0
1,49,66.07924666063938
1,50,0.0
1,51,63.73920893483702
1,52,0.0
1,53,0.0
1,54,23.56370016655685
1,55,91.1
1,56,91.1
1,57,0.0
1,58,38.21782677670195
1,59,91.1
1,60,91.1
1,61,0.0
1,62,50.66663791766186
1,63,48.670702984981396
1,64,0.0
1,65,0.0
1,66,0.0
1,67,0.0
1,68,0.0
1,69,12.335943260099329
1,70,35.36943948454316
1,71,0.0
1,72,0.0
1,73,0.0
1,74,9.81542579754407
1,75,0.0
1,76,0.0
1,77,0.0
1,78,0.0
1,79,8.570493941032076
1,80,0.0
1,81,0.0
1,82,0.0
1,83,0.0
1,84,0.0
1,85,0.0
1,86,22.695861555089973
1,87,0.0
1,88,61.189037227318856
1,89,0.0
1,90,0.0
1,91,0.0
1,92,91.1
1,93,0.4275949272497085
1,94,91.1
1,95,90.06088800558031
1,96,0.0
1,97,38.26478524727628
1,98,0.0
1,99,0.0
1,100,9.409606137509874
1,101,91.1
1,102,0.0
1,103,28.340451350209257
1,104,0.0
1,105,0.0
1,106,19.986010044527852
1,107,0.0
1,108,11.78351680797823
1,109,0.0
1,110,0.0
1,111,0.0
1,112,0.0
1,113,0.0
1,114,0.0
1,115,0.0
1,116,0.0
1,117,0.0
1,118,0.0
1,119,0.0
1,120,0.0
1,121,57.55053135047668
1,122,0.0
1,123,0.0
1,124,30.605891217276124
1,125,0.0
1,126,0.0
1,127,8.132511903659546
1,128,0.0
1,129,6.163107424625212
1,130,91.1
1,131,2.475747131159622
1,132,91.1
1,133,10.909104924262158
1,134,91.1
1,135,91.1
1,136,91.1
1,137,33.16821986473214
1,138,91.1
1,139,91.1
1,140,91.1
1,141,45.54770902761119
1,142,86.09133019790988
1,143,91.1
1,144,26.05091945015685
1,145,5.724194059424008
1,146,91.1
1,147,47.17968579892834
1,148,0.0
1,149,0.0
1,150,0.0
1,151,0.0
1,152,0.0
1,153,0.0
1,154,42.031786940252914
1,155,0.0
1,156,0.0
1,157,0.0
1,158,0.0
1,159,0.0
1,160,0.0
1,161,2.872578940091546
1,162,0.0
1,163,0.0
1,164,0.0
1,165,0.0
1,166,0.0
1,167,0.0
1,168,0.0
1,169,0.0
1,170,0.0
1,171,0.0
1,172,0.0
1,173,0.0
1,174,36.41649009168323
1,175,0.0
1,176,0.0
1,177,20.882525185685555
1,178,0.0
1,179,15.645901873413582
1,180,0.0
1,181,83.04624746558908
1,182,91.1
1,183,18.44349651261213
1,184,36.916405452333365
1,185,0.0
1,186,0.0
1,187,8.038904505431443
1,188,0.0
1,189,0.0
1,190,0.0
1,191,0.0
1,192,0.0
1,193,0.0
1,194,0.0
1,195,0.0
1,196,0.0
1,197,0.0
1,198,0.0
1,199,0.0
1,200,0.0
1,201,0.0
1,202,0.0
1,203,0.0
1,204,0.0
1,205,0.0
1,206,0.0
1,207,0.0
1,208,0.0
1,209,0.0
1,210,0.0
1,211,0.0
1,212,0.0
1,213,0.0
1,214,0.0
1,215,0.0
1,216,0.0
1,217,0.0
1,218,0.0
1,219,0.0
1,220,0.0
1,221,0.0
1,222,0.0
1,223,0.0
1,224,0.0
1,225,0.0
1,226,0.0
1,227,0.0
1,228,0.0
1,229,0.0
1,230,0.0
1,231,0.0
1,232,0.0
1,233,0.0
1,234,0.0
1,235,0.0
1,236,0.0
1,237,0.0
1,238,0.0
1,239,0.0
1,240,2.889575687761379
2,1,43.78930599903739
2,2,43.199636053901024
2,3,43.14085150840438
2,4,43.15608374291995
2,5,43.19648106260565
2,6,43.1525337803312
2,7,42.63792654410733
2,8,42.62780865213503
2,9,44.42431576469676
2,10,43.55539115853143
2,11,42.884946589904445
2,12,43.59955125506178
2,13,44.09284452124912
2,14,43.37590344956234
2,15,43.69656357317815
2,16,44.05280675972332
2,17,44.79117810218634
2,18,43.74835869627352
2,19,43.710854525500906
2,20,45.09293246362505
2,21,44.41836716017082
