Central,Semana,Temporada,Caudal_m3s
2,12,1,9.052255566813514
3,10,1,21.87597045814502
3,10,2,12.376062423018737
3,12,1,444.08289329181366
3,12,2,434.583958042253
3,12,3,338.48362061778323
3,12,4,414.1302705921629
3,12,5,337.4827225140672
3,13,1,96.6262513810999
3,13,2,76.51905509945436
3,14,1,40.34460779181424
3,14,2,30.845672542252913
3,14,4,24.844422514067134
3,15,1,31.748882917548826
3,16,1,38.144975917548805
3,17,1,16.020017116913408
3,18,1,6.752294583145016
3,19,1,239.17828816684568
3,19,2,139.0799944157639
3,19,3,135.07996939931905
3,19,4,133.07900711103858
3,19,5,135.07991989931898
3,20,1,111.46761991681444
3,20,2,11.86717104092827
3,20,3,7.3693011493189715
3,20,4,5.86836599278314
3,20,5,7.369319899319009
3,21,1,72.41814909538564
3,22,1,126.62776766681486
3,22,2,28.029259362936955
3,22,3,23.52730997293338
3,22,4,21.52689761876286
3,22,5,23.52728097293334
3,23,1,126.61725009538569
3,23,2,28.51694931891035
3,23,3,24.01809482185564
3,23,4,22.018099281472644
3,23,5,24.018083393284144
3,24,1,48.48513716681421
3,25,1,31.36828466681422
3,25,2,24.367983890338877
3,26,1,18.807392542548826
3,26,2,11.808925362936918
3,27,1,27.1580645425488
3,27,2,20.159597362936893
3,28,1,42.16834554254879
3,28,2,35.169878362936885
3,29,1,39.054196083145
3,29,2,32.55575036293689
3,30,1,42.67677108314504
3,30,2,36.17832536293693
3,31,1,31.26949317381073
3,31,2,46.54712755419769
3,32,1,60.08143888416555
3,32,2,57.717055000003285
3,33,1,48.703732368859306
3,33,2,34.793400454901274
3,34,1,29.91832595686688
3,34,2,23.419611839911937
3,35,1,7.0196903221553555
3,35,2,2.002191089911946
4,1,1,108.81771064366306
4,1,2,98.00314764865118
4,1,3,92.50333718503329
4,1,4,90.00152251406715
4,1,5,41.473600000000005
4,2,1,108.15700854125518
4,2,2,97.15837246491193
4,2,3,91.65799990647267
4,2,4,61.17165546284618
4,2,5,41.56249999999994
4,3,1,107.10348376752562
4,3,2,96.60342664807115
4,3,3,91.60473613861552
4,3,4,88.60427442271772
4,3,5,46.1677
4,4,1,112.470913436854
4,4,2,102.4709975409283
4,4,3,96.97060536876285
4,4,4,94.47177442271374
4,4,5,61.2576520121894
4,5,1,145.1135275766357
4,5,2,135.1159072014787
4,5,3,129.61492827849764
4,5,4,89.02967941398333
4,5,5,37.01465731170743
4,6,1,142.081490621433
4,6,2,132.08335916725326
4,6,3,127.08302174278342
4,6,4,62.42713287414629
4,6,5,96.83430832657635
4,7,1,144.4199740418142
4,7,2,134.41949423538165
4,7,3,129.42074248603888
4,7,4,37.93939999999907
4,7,5,123.3237
4,8,1,169.06013179254882
4,8,2,159.55969311038137
4,8,3,154.5609413610386
4,8,4,69.27489999999995
4,8,5,117.4987
4,9,1,138.07810235457822
4,9,2,138.07810235457822
4,9,3,138.07810235457822
4,9,4,124.34979999999985
4,9,5,124.34979999999985
4,10,1,125.5775
4,10,2,125.5775
4,10,3,125.5775
4,10,4,125.5775
4,10,5,125.5775
4,11,1,172.6675483854383
4,11,2,163.16892359343592
4,11,3,158.6674849426333
4,11,4,152.49231428571423
4,11,5,147.1452208975581
4,12,1,63.781250000000014
4,12,2,63.781250000000014
4,12,3,63.781250000000014
4,12,4,63.78120000000001
4,12,5,63.78120000000001
4,13,1,103.9657142857143
4,13,2,103.9657142857143
4,13,3,103.9657142857143
4,13,4,103.9657
4,13,5,103.9657
4,14,1,141.63823776681676
4,14,2,141.63823776681676
4,14,3,141.63823776681676
4,14,4,141.63820000000004
4,14,5,141.63820000000004
4,15,1,123.39533537500004
4,15,2,123.39533537500004
4,15,3,123.39533537500004
4,15,4,123.39530000000002
4,15,5,123.39530000000002
4,16,1,98.14375000000001
4,16,2,98.14375000000001
4,16,3,98.14375000000001
4,16,4,98.1437
4,16,5,98.1437
4,17,1,107.66285714285715
4,17,2,107.66285714285715
4,17,3,107.66285714285715
4,17,4,107.66290000000001
4,17,5,107.66290000000001
4,18,1,135.15099350000008
4,18,2,135.15099350000008
4,18,3,135.15099350000008
4,18,4,135.15100000000007
4,18,5,135.15100000000007
4,19,1,439.17828816684573
4,19,2,339.0799944157639
4,19,3,335.07996939931905
4,19,4,333.07900711103855
4,19,5,335.07991989931895
4,20,1,71.67750000000001
4,20,2,71.67750000000001
4,20,3,71.67750000000001
4,20,4,71.67750000000001
4,20,5,71.67750000000001
4,21,1,88.03571428571429
4,21,2,88.03571428571429
4,21,3,88.03571428571429
4,21,4,88.0357
4,21,5,88.0357
4,22,1,59.39250000000001
4,22,2,59.39250000000001
4,22,3,59.39250000000001
4,22,4,59.39250000000001
4,22,5,59.39250000000001
4,23,1,326.61725009538566
4,23,2,53.818571428571445
4,23,3,190.5380948218562
4,23,4,53.8186
4,23,5,190.5380833932847
4,24,1,131.428086
4,24,2,131.428086
4,24,3,131.428086
4,24,4,110.90681989931736
4,24,5,112.40598339328471
4,25,1,197.88828466681423
4,25,2,190.88798389033892
4,25,3,166.52
4,25,4,166.52
4,25,5,166.52
4,26,1,185.32739254254884
4,26,2,178.32892536293693
4,26,3,166.52
4,26,4,113.42500000000001
4,26,5,166.52
4,27,1,193.6780645425488
4,27,2,186.6795973629369
4,27,3,162.5774787377335
4,27,4,166.52
4,27,5,166.52
4,28,1,208.6883455425488
4,28,2,201.6898783629369
4,28,3,166.52
4,28,4,137.7400159062453
4,28,5,166.52
4,29,1,205.574196083145
4,29,2,199.0757503629369
4,29,3,166.52
4,29,4,166.52
4,29,5,166.52
4,30,1,209.19677108314505
4,30,2,202.69832536293694
4,30,3,166.52
4,30,4,131.5704397291784
4,30,5,158.59173417607536
4,31,1,231.26949317381073
4,31,2,213.0671275541977
4,31,3,166.52
4,31,4,117.466032886027
4,31,5,166.52
4,32,1,260.08143888416555
4,32,2,224.2370550000033
4,32,3,166.52
4,32,4,137.1253809729336
4,32,5,166.52
4,33,1,215.22373236885932
4,33,2,201.31340045490128
4,33,3,166.52
4,33,4,113.12338097293333
4,33,5,114.62386804801874
4,34,1,196.4383259568669
4,34,2,189.93961183991195
4,34,3,164.69846266093865
4,34,4,113.39500000000001
4,34,5,145.01816882399493
4,35,1,173.53969032215537
4,35,2,168.52219108991196
4,35,3,165.02180264328476
4,35,4,129.55061818337077
4,35,5,165.52226116486452
4,36,1,162.3362964377578
4,36,2,155.83657904092829
4,36,3,152.83787264328416
4,36,4,121.8712
4,36,5,121.8712
4,37,1,147.66055490204354
4,37,2,140.6629926300496
4,37,3,137.66082868721955
4,37,4,125.2457
4,37,5,138.1620833932842
4,38,1,140.8354950907174
4,38,2,134.33759191576385
4,38,3,131.33542797293333
4,38,4,126.3837
4,38,5,126.3837
4,39,1,136.15704222788506
4,39,2,129.65841891725287
4,39,3,126.65744838602762
4,39,4,126.65743288602766
4,39,5,127.1568809729336
4,40,1,130.89662304102052
4,40,2,124.39649786038194
4,40,3,121.39865889931917
4,40,4,121.39861989931956
4,40,5,121.63415862560464
4,41,1,126.36187670695975
4,41,2,120.36210328895359
4,41,3,117.36426432789042
4,41,4,117.36431989931899
4,41,5,117.86273288602763
4,42,1,124.10784107762831
4,42,2,118.10841733373302
4,42,3,115.10924856718695
4,42,4,115.10929928147266
4,42,5,115.61011989931905
4,43,1,120.83343670952632
