Semana,Temporada,Volumen_hm3
1,1,4725.224376230733
1,2,3160.7861938372935
1,3,2185.399462442678
1,4,1641.3704682599448
1,5,1663.8668514082754
2,1,4642.191757535158
2,2,3085.3558323976877
2,3,2113.7709585154657
2,4,1590.8141265640256
2,5,1626.8643579682755
3,1,4567.599139122125
3,2,3017.1136485305
3,3,2048.551982668397
3,4,1527.409873553166
3,5,1589.1257451682754
4,1,4494.197903137193
4,2,2950.624354412832
4,3,1985.8645596201295
4,4,1466.4496454721864
4,5,1551.1231184974502
5,1,4421.739218392706
5,2,2884.2122304712398
5,3,1922.7794277311564
5,4,1427.9104713626093
5,5,1544.0426297553295
6,1,4338.771710712148
6,2,2808.1554312518115
6,3,1850.1788617395216
6,4,1400.0
6,5,1492.3499187199998
7,1,4265.172307234133
7,2,2741.468359416003
7,3,1786.9469271128585
7,4,1400.0
7,5,1433.3322905599998
8,1,4196.2007464759345
8,2,2679.0635018749185
8,3,1727.99720678092
8,4,1400.0
8,5,1400.0
9,1,4151.662329909027
9,2,2640.2706296876554
9,3,1692.2284226125907
9,4,1400.0
9,5,1400.0
10,1,4119.924783937041
10,2,2615.0994201495487
10,3,1675.6115474212743
10,4,1434.82396928
10,5,1434.82396928
11,1,4072.8988850422866
11,2,2573.818289528997
11,3,1637.052886896728
11,4,1400.0
11,5,1403.2339220811568
12,1,4275.446062580327
12,2,2782.931131111534
12,3,1912.5902817070582
12,4,1623.2503627266972
12,5,1679.4630700394337
13,1,4283.96331735236
13,2,2803.6092181947056
13,3,1979.5470933143804
13,4,1690.2071659266971
13,5,1752.1491393386775
14,1,4256.661818268155
14,2,2782.8733831549976
14,3,1980.1317871358776
14,4,1673.6193180449739
14,5,1793.0734324586774
15,1,4231.446118206745
15,2,2779.6025109661978
15,3,1976.8609149470776
15,4,1670.3484905249738
15,5,1840.5023558044657
16,1,4201.818989665336
16,2,2776.341189778998
16,3,1973.7512474508194
16,4,1667.0872015649738
16,5,1883.519833390254
17,1,4182.593209409026
