Uso,Semana,Temporada,Volumen_hm3
1,1,1,1645.04
1,1,2,1374.8027200000001
1,1,3,1126.0527200000001
1,1,4,973.17272
1,1,5,956.0924075365077
1,2,1,1582.07168
1,2,2,1374.8027200000001
1,2,3,1077.4334745941412
1,2,4,929.5482553579329
1,2,5,956.0924075365077
1,3,1,1526.9744
1,3,2,1319.7054400000002
1,3,3,1022.3361945941411
1,3,4,874.450975357933
1,3,5,926.9632178786284
1,4,1,1526.9744
1,4,2,1319.7054400000002
1,4,3,1022.3361945941411
1,4,4,874.450975357933
1,4,5,926.9632178786284
1,5,1,1471.87712
1,5,2,1264.6081600000002
1,5,3,967.2389145941412
1,5,4,842.3873804502325
1,5,5,926.9632178786284
1,6,1,1471.87712
1,6,2,1264.6081600000002
1,6,3,967.2389145941412
1,6,4,842.3873804502325
1,6,5,883.5200994042813
1,7,1,1471.87712
1,7,2,1264.6081600000002
1,7,3,967.2389145941412
1,7,4,842.3873804502325
1,7,5,823.7290007652638
1,8,1,1471.87712
1,8,2,1264.6081600000002
1,8,3,967.2389145941412
1,8,4,842.3873804502325
1,8,5,823.7290007652638
1,9,1,1416.7798400000001
1,9,2,1209.5108800000003
1,9,3,912.1416345941412
1,9,4,842.3873804502325
1,9,5,803.4935274871406
1,10,1,1416.7798400000001
1,10,2,1209.5108800000003
1,10,3,912.1416345941412
1,10,4,835.267242451215
1,10,5,803.4935274871406
1,11,1,1361.6825600000002
1,11,2,1154.4136000000003
1,11,3,857.0443545941413
1,11,4,782.9976818130917
1,11,5,754.4578889301741
1,12,1,1361.6825600000002
1,12,2,1154.4136000000003
1,12,3,857.0443545941413
1,12,4,782.9976818130917
1,12,5,754.4578889301741
1,13,1,1306.5852800000002
1,13,2,1105.7321962722049
1,13,3,851.9189227635691
1,13,4,776.9654807095995
1,13,5,754.4578889301741
1,14,1,1306.5852800000002
1,14,2,1105.7321962722049
1,14,3,807.1594143368579
1,14,4,776.9654807095995
1,14,5,754.4578889301741
1,15,1,1306.5852800000002
1,15,2,1058.48866852541
1,15,3,807.1594143368579
1,15,4,776.9654807095995
1,15,5,754.4578889301741
1,16,1,1306.5852800000002
1,16,2,1015.6661202602152
1,16,3,761.3768024746885
1,16,4,776.9654807095995
1,16,5,754.4578889301741
1,17,1,1256.0438700974246
1,17,2,969.3710855429697
1,17,3,712.3590151305162
1,17,4,727.0409477661074
1,17,5,754.4578889301741
1,18,1,1256.0438700974246
1,18,2,912.0646862757641
1,18,3,712.3590151305162
1,18,4,727.0409477661074
1,18,5,754.4578889301741
1,19,1,1256.0438700974246
